,pair,investment_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,scaled_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity,average_annualised_investment_count,success_bucket_pair,diversity_bucket_pair
"f8527641-abd1-4253-828e-e0d659b627b9,c67315e2-a760-4215-a553-4870d39be03b","f8527641-abd1-4253-828e-e0d659b627b9,c67315e2-a760-4215-a553-4870d39be03b",2,0.5,0.0,0.0,0.03125,0.03125,0.2727272727272727,0.033318014705882346,0.12042150193410689,0.13652900184464029,1.3888888888888888,"L5,L5","Balanced,Balanced"
"7eab58d8-4c33-4a31-9334-3a9ecc5e7242,6f57f85e-c9a9-4a26-a62a-31d87dd69c63","7eab58d8-4c33-4a31-9334-3a9ecc5e7242,6f57f85e-c9a9-4a26-a62a-31d87dd69c63",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.03348214285714285,0.1933268545513443,0.13290194126431054,0.8333333333333334,"L5,L5","Focused,Diverse"
"be27cc42-9afa-449c-be17-661175630ece,a9e90d36-fbe8-4b1f-b145-a58ead3b2037","be27cc42-9afa-449c-be17-661175630ece,a9e90d36-fbe8-4b1f-b145-a58ead3b2037",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.10521541950113371,0.1149825783972125,0.16666666666666666,"L5,L5","Diverse,Balanced"
"f2d525ad-0878-46c5-8e62-70dbb199aeb9,b577b6df-90f6-44f1-a001-b9283e38a4d4","f2d525ad-0878-46c5-8e62-70dbb199aeb9,b577b6df-90f6-44f1-a001-b9283e38a4d4",1,1.0,1.0,1.0,0.9375,0.46875,0.2727272727272727,0.0669642857142857,0.17440017276751968,0.13661854985896796,1.6111111111111112,"L5,L5","Focused,Balanced"
"ae788d4a-ad06-4b89-9ddb-7587cbc31760,000a77a6-e8b4-4782-8ef4-7f361d417e22","ae788d4a-ad06-4b89-9ddb-7587cbc31760,000a77a6-e8b4-4782-8ef4-7f361d417e22",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.048076923076923045,0.1808477237048665,0.1297239346019833,0.7777777777777778,"L5,L5","Universalist,Specialized"
"e24eb956-a671-46fe-a04b-d461684f016b,d03c83f5-adf0-4a06-a33a-4748e984dc72","e24eb956-a671-46fe-a04b-d461684f016b,d03c83f5-adf0-4a06-a33a-4748e984dc72",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.17057291666666666,0.06046863189720325,0.1144018583042973,0.611111111111111,"L5,L4","Diverse,Balanced"
"f7b40c01-3e05-455b-93f8-66bc3b50c34b,a51bcde4-4be9-eadf-0f18-af534e13a780","f7b40c01-3e05-455b-93f8-66bc3b50c34b,a51bcde4-4be9-eadf-0f18-af534e13a780",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0625,0.056235827664399,0.024390243902439,0.1111111111111111,"L5,L5","Universalist,Universalist"
"e10de0f8-bed0-4dff-99a6-2258f3e21fed,409b61de-c94f-65df-a03b-f0ca29f153d4","e10de0f8-bed0-4dff-99a6-2258f3e21fed,409b61de-c94f-65df-a03b-f0ca29f153d4",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.0357142857142857,0.2798833819241982,0.17172722747635638,0.4444444444444444,"L5,L5","Universalist,Specialized"
"9443f9ec-f21b-6011-51f3-a0504da8d760,20e8e673-45ba-9e6e-e697-b8aa2b5bf676","9443f9ec-f21b-6011-51f3-a0504da8d760,20e8e673-45ba-9e6e-e697-b8aa2b5bf676",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.046875,0.09841269841269834,0.0984320557491289,0.2777777777777778,"L5,L5","Universalist,Balanced"
"5ce64378-cb2d-266f-5719-0cd08e9a0063,5bc5257b-3576-e9f1-6d3d-4d17b4e14ecf","5ce64378-cb2d-266f-5719-0cd08e9a0063,5bc5257b-3576-e9f1-6d3d-4d17b4e14ecf",1,1.0,0.0,0.0,0.0625,0.03125,0.2727272727272727,0.03409090909090905,0.4057837853756221,0.27815738268699935,4.333333333333333,"L5,L5","Specialized,Balanced"
