investor_a,investor_b,total_coinvestments
6cd3dcfa-0743-d077-7bd4-584e15476232,d6310ddf-57fc-6971-07f9-79b620d681f4,1
6c98aa6a-0383-ea74-c27c-996b38daa5ed,8732412c-3737-47f9-a267-ff6493ab2e72,1
38a5e4ae-2053-4a0b-b146-b8753bcda230,be0512fb-2268-ae41-d2b4-de9148cb2b87,1
38a5e4ae-2053-4a0b-b146-b8753bcda230,7f70cbab-edf3-b810-fdbb-be115b5ebe95,1
21800c8e-d1cb-4cd5-b952-f2704032da27,2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,1
2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,c4eb3551-2eba-8eac-d866-bcfaf66064af,1
2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,d1acae48-6164-46e5-961d-2a0f4d044e0b,1
2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,d3a4becd-9851-4fe4-bcbe-577149cc50fb,1
9da42114-b627-6926-f3b7-fd07e23fc337,e01aaf68-c7f1-7d2f-1d67-f8f56b8b73f0,1
0912160f-3b51-8ec3-80e1-713a7be8902a,56e40f50-97c7-2a77-255d-1d97d5f30646,1
9bfea299-aaca-4471-91aa-344078f4853a,a024fec1-b65f-7b9a-20e8-6e12a7b58b6e,1
20c21955-325e-6692-09b6-313311b63788,91be2fc7-b1b8-e038-dc0e-4782064caf76,1
763ad1cd-fd23-4a83-9338-85c4b47ac314,e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,1
20c21955-325e-6692-09b6-313311b63788,672e7bef-d50a-4761-8a4a-fcdbe2da9c03,1
049b6ed0-d9bd-235b-d88b-dbc24cf38ccd,7c9084be-7852-60d7-f779-2506734ec9c0,1
82496d91-b6ce-4b6d-87d6-0b6e192f849e,c3eaa73e-fd89-8911-c103-fa6c35f01d65,1
54ce23ce-85d4-4f84-8107-aadaf5bf87a9,82496d91-b6ce-4b6d-87d6-0b6e192f849e,1
3989cbe1-a20d-661d-d736-551d4611f68b,529021ed-818e-5d23-ebef-54c17c4e72aa,1
0e356998-37f1-d2b1-b6eb-2b62cf418b3e,277485e9-8c5b-4651-a13a-a9563e3f3930,1
049b6ed0-d9bd-235b-d88b-dbc24cf38ccd,2a847ebd-bca0-4fb7-b500-245cd2f9123e,1
8efa6039-d0b3-4d38-97b1-ad9319491b7b,fb514887-bdc1-4b86-91f6-c8796fe41ed8,1
b0710af4-fe1c-4025-97b3-f0145f35d060,e8487396-f60c-25f1-2bb5-bfcb4e0f4b66,1
0d318a19-348d-4af1-aeff-65e9e6e14d2f,d05b2ccf-11e2-4f96-de1e-36ed8c690600,1
56e40f50-97c7-2a77-255d-1d97d5f30646,f8d38964-9ce2-c9c6-5546-e35a50d81c8e,1
5f8da149-2e69-4b0d-a1e3-abca45008c28,f8d38964-9ce2-c9c6-5546-e35a50d81c8e,1
196669a5-54cf-d918-08a1-052da4568700,1b4f2b3a-caef-24dc-acd6-e0ea9b5be0cf,1
1eb5764e-21ca-9b3a-7e62-ffa6bd38b35d,470213d0-23d8-fc60-2bb8-3e45ffe264a0,1
74c352f2-904f-45af-87d5-3917af65a734,822ba187-f617-35bf-48a0-2019cf14d6bb,1
7a42b564-4bb6-5864-6cdb-a0100008f3b3,8882f54b-0f22-0bdc-3f04-22d688445c55,1
7cd79c9d-d5c2-491c-b1a3-5ca5f92162bc,90411993-fe03-4d01-9b85-97500f21f970,1
66728421-e17b-2f25-b41c-8c0be6f2ced3,8fc485cc-1b36-209f-3710-fc220128b939,1
66728421-e17b-2f25-b41c-8c0be6f2ced3,e25e7afb-1f69-2307-e9bf-9b0a0650cee4,1
5f8da149-2e69-4b0d-a1e3-abca45008c28,b8fb2b12-fa3d-4b3c-8642-7fac1738afe0,1
5f8da149-2e69-4b0d-a1e3-abca45008c28,fe67dff0-3387-9a11-411e-97cb07066e09,1
c11dd71c-6c63-4620-9804-8aca819a1adb,e075716b-45b5-1d18-cf7a-48874b62ef23,1
190cb3a4-355a-d42e-948c-a911ee3ad671,f4bc9863-c3a2-7865-ba2b-49e6298615ee,1
30d221aa-11e7-8379-b996-230477674c69,d983b331-0887-4aa5-b434-7ea736b4b149,1
09ac238a-4bb4-1c49-3ad2-cefc472495ec,fb8d57c4-eb30-d2e3-ac69-b62cc0f27bbf,1
ddacc266-31cb-864c-5df8-94f401101652,f496b33a-6702-4484-8935-ad620443a1c3,1
