investor_name,investment_count,25m_count,100m_count,250m_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,weighted_success_rate
Sarah Syed,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Shift Left Ventures,2,0,0,0,2021,7,4,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.1672473867595819,0.0272108843537414,0.0
Rabil Ventures,1,0,0,0,2021,6,5,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.2473867595818815,0.0888888888888888,0.0
Brandon Cook,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Evernew Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jump Trading,1,0,0,0,2021,5,4,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1707317073170731,0.056235827664399,0.0
Kamran Elahian,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Sargun Kaur,1,0,0,0,2021,3,2,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.0592334494773519,0.0126984126984126,0.0
GroundBreak Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Jed Nachman,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Hooge Raedt Social Venture,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
LaunchYU,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Prime Impact Fund,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
TI Platform Management,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Infinity Home Investments,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mehrdad Piroozram,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Biotechnology Industry Research Assistance Council(BIRAC),0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Raymond McGuire,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
T5 Capital,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Progression Fund,2,0,0,0,2021,10,7,0.2222222222222222,0.0,0.0,0.0,0.2727272727272727,0.3449477351916376,0.0870748299319727,0.0
KT investment,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Andrew Klein,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Future Fund,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Muhabbit Capital Ventures,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Steven Witt,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Mike Hennessey,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
Operation Sports,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
BAF Capital,1,0,0,0,2021,8,6,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.4425087108013937,0.1287981859410431,0.0
Guillaume Grimbert,1,0,0,0,2021,4,4,0.1111111111111111,0.0,0.0,0.0,0.2727272727272727,0.1080139372822299,0.056235827664399,0.0
Ahmed Haque,0,0,0,0,2021,0,0,0.0,,,,0.2727272727272727,,,
