pair,Unnamed: 0,investment_count,25m_count,100m_count,250m_count,25m_rate,100m_rate,250m_rate,weighted_success_rate,average_experience,average_success_rate,average_specific_diversity,average_broad_diversity
"52652f4d-581e-4ad5-9d06-b1b250a333cd,157ade4c-ba9b-4a83-bc24-533e8da84b68","52652f4d-581e-4ad5-9d06-b1b250a333cd,157ade4c-ba9b-4a83-bc24-533e8da84b68",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0471655328798185,0.0261324041811846
"c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,3843215a-d217-414d-94c9-53d9f65782dd","c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,3843215a-d217-414d-94c9-53d9f65782dd",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0371882086167799,0.1149825783972125
"e05899bf-0964-9b18-7116-0e1e6c460e8c,dd8d3b14-84e6-4819-910a-070d9336fd2d","e05899bf-0964-9b18-7116-0e1e6c460e8c,dd8d3b14-84e6-4819-910a-070d9336fd2d",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0417233560090702,0.127177700348432
"bb0955c3-af0d-2d01-cd4f-985a93252432,994c5b6f-d8ea-479f-9afb-b4b9d02653d4","bb0955c3-af0d-2d01-cd4f-985a93252432,994c5b6f-d8ea-479f-9afb-b4b9d02653d4",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0893333333333332,0.2814814814814815,0.2308943089430894
"f1653c02-8228-44c0-9691-cb1ee3aac89b,e05899bf-0964-9b18-7116-0e1e6c460e8c","f1653c02-8228-44c0-9691-cb1ee3aac89b,e05899bf-0964-9b18-7116-0e1e6c460e8c",2,1,0,0,0.5,0.0,0.0,0.14,0.2727272727272727,0.1166666666666666,0.0616780045351473,0.0818815331010452
"921aaba4-e458-4ef2-aca3-a3f248c1dab5,39a9103a-ce00-434a-9277-a75a80389538","921aaba4-e458-4ef2-aca3-a3f248c1dab5,39a9103a-ce00-434a-9277-a75a80389538",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.2954545454545454,0.0784992784992784,0.1997149192271143
"96132265-35bb-fbc1-2b25-e5793a34f241,3b8fc272-5479-bb3b-e81e-ce023ec4c262","96132265-35bb-fbc1-2b25-e5793a34f241,3b8fc272-5479-bb3b-e81e-ce023ec4c262",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.175,0.0662131519274375,0.0670731707317072
"9183d3fb-c801-bc11-1594-04850e47cf60,5f44eb69-ad9f-4114-a61b-12ae8af243a1","9183d3fb-c801-bc11-1594-04850e47cf60,5f44eb69-ad9f-4114-a61b-12ae8af243a1",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.1336842105263157,0.1240434419381787,0.1220979277461947
"7316caff-465d-f5da-f881-6bae7f0812b8,5ce64378-cb2d-266f-5719-0cd08e9a0063","7316caff-465d-f5da-f881-6bae7f0812b8,5ce64378-cb2d-266f-5719-0cd08e9a0063",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0593939393939393,0.3822010189357128,0.0841968716533176
"c40189cd-74f7-6f4a-884b-e8d2e2862d86,40f13287-7dab-a2c4-793b-e1c46a4175ea","c40189cd-74f7-6f4a-884b-e8d2e2862d86,40f13287-7dab-a2c4-793b-e1c46a4175ea",1,1,1,0,1.0,1.0,0.0,0.5800000000000001,0.2727272727272727,0.38,0.1814965986394557,0.198780487804878
"9183d3fb-c801-bc11-1594-04850e47cf60,5d3d25e6-96d3-4653-adf8-643a5d0329b3","9183d3fb-c801-bc11-1594-04850e47cf60,5d3d25e6-96d3-4653-adf8-643a5d0329b3",1,1,1,1,1.0,1.0,1.0,1.0,0.2727272727272727,0.1586842105263157,0.0994629430719656,0.143178067119017
"cedd6a2d-2300-dc78-1509-e4091018c69e,59939e6e-f8ec-79e1-91ac-5d146a1e6ccc","cedd6a2d-2300-dc78-1509-e4091018c69e,59939e6e-f8ec-79e1-91ac-5d146a1e6ccc",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.0593939393939393,0.0695938981653267,0.0690528983211909
"d7f63b50-ca5f-48c6-88aa-7ccd184e05da,53cc5c97-f4d9-4eb8-b85c-6d78932766ac","d7f63b50-ca5f-48c6-88aa-7ccd184e05da,53cc5c97-f4d9-4eb8-b85c-6d78932766ac",1,1,0,0,1.0,0.0,0.0,0.28,0.2727272727272727,0.21,0.0371882086167799,0.0958188153310104
