founded_year,org_uuid,name_x,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_names,investor_uuids,name_y
2022,ad85da3c-5ca5-47ad-9949-ad2a7c9669bf,Sohal LLC,,,,0,0,0,Union Kitchen,34f24c65-83ad-4910-9d13-207eadef3ec5,Sohal LLC
2022,22a2e854-3c84-4ee6-b2fb-5783968cba85,Remedy Tech,,,,0,0,0,LvlUp Ventures,6e7b9c28-3b38-4a21-a2bc-ed74dabadb25,Remedy Tech
2022,0bad58cc-fc36-4c80-a715-a6ba21d18942,Revyz,,,,0,0,0,"Atlassian Ventures, Druva","46b2c7fd-6780-43fd-aa2e-023634994755, cd8b11c1-7833-be7a-8c50-2053b2416d4b",Revyz
2022,bb877ff8-ec04-4998-9ce2-0c4535bc589c,Proofs,,,2574234.0,0,0,0,"Bek Ventures, Expeditions Fund, Jens Lapinski, Nick Davidov, Piotr Karwatka, RTP Global, Robin Haak, Step Function Ventures, Tomasz Karwatka","46ab8351-fff8-474d-b924-a0301e4c0ada, da7d75cc-ff22-4c61-9604-807ba1db127c, 4c16c92a-9539-0324-d51d-5bed0904538c, 9f902ee9-255c-b01a-1e59-1217f088152f, e0c10afe-32fc-441a-86da-7a9c58d351c1, 2d86b0fe-8e61-7ce4-caf6-23a3d71c209e, a0510be3-9f82-f52e-baf3-6b14e0442e79, 71d00c8b-3009-4d9d-b673-1469d47505ee, 51d6f6e1-18ec-cab0-568f-c1f737f6c2c3",Proofs
2022,b1777980-ba25-4748-a8ad-8ba3d86a604c,Soul Space,,,180000.0,0,0,0,Antler,00daca16-8311-454b-84e0-24a40d16be9c,Soul Space
2022,216615c1-8833-4881-bd98-872426e70a05,Bitpart AI,,,6870000.0,0,0,0,"Crane Venture Partners, LVP, TIRTA Ventures","40c026fc-3253-a1b6-7333-4e7e58102d4f, 14474ae7-b6a1-a0a8-e2ea-f117cd1deed7, 3607b141-79d2-47e1-b749-8236a379f341",Bitpart AI
2022,2c22a523-2c4e-4e6f-b263-9c5537231210,Breaking,,,10500000.0,0,0,0,"Animal Capital, Builders VC, Carnrite Ventures, Climate Capital, Colossal Biosciences","289a3dae-5f5f-434a-b36f-828a03e61214, 5c30c6a8-9a32-f5da-e65d-09c5b02c78b7, 7123cedf-f85f-47c5-9459-3308a45fac9a, 1e647107-37af-4d5c-882a-5e6febb683dc, 9d5397e0-e01d-4fb4-be86-5f24b72bf07b",Breaking
2022,8db4712b-36c8-4430-8031-2725529bff67,Jones,,,5104975.0,0,0,0,"Founder Collective, NextView Ventures","6b43c7ec-5898-0866-af46-494775acb00f, 386eb9bc-d8ae-2537-b5bd-534f14520ff3",Jones
2022,15dedac8-ef39-4390-9730-31c5ed75bfe9,QAI - in stealth,,,5000000.0,0,0,0,Ibex Venture Partners,4cc0ff04-f4cf-4408-b6c8-91c45bac95b5,QAI - in stealth
2022,d6468084-1510-46e9-9aee-52a0ba393fb6,Future Trash,,,9904999.0,0,0,0,"General Catalyst, TIRTA Ventures","34a9bb66-0984-8de0-e7fb-13e976b4a135, 3607b141-79d2-47e1-b749-8236a379f341",Future Trash
2022,693b8a9d-6f56-4cea-890f-31adf47b2151,Kosh,,,,0,0,0,"First Cheque, Sunn91 Ventures","172e0acd-ee59-4f01-846a-ba3e5b3c0733, d2c1f1c1-9af0-4dd0-88b1-0487ea830904",Kosh
