investor_uuid,investor_name,investment_count,earliest_investment_experience,broad_category_count,specific_category_count,annualised_investment_count,25m_rate,100m_rate,250m_rate,experience,broad_diversity,specific_diversity,proportional_broad_diversity,proportional_specific_diversity,weighted_success_rate,diversity_bucket,success_bucket
89bff19e-52b2-42a0-aea4-022063e622f6,Paramita,2,2021,8,4,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.21951219512195122,0.027210884353741496,4.0,2.0,0.46875,Focused,L3
52956b2b-2d8c-a93a-e638-eecacafb7faf,The Twenty Minute VC,2,2021,7,6,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.1672473867595819,0.06349206349206349,3.5,3.0,0.46875,Focused,L3
4de355ce-0b44-4cb0-8121-aa2ec479a443,Avid3,2,2021,9,7,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.2787456445993031,0.08707482993197278,4.5,3.5,0.46875,Specialized,L3
39a9103a-ce00-434a-9277-a75a80389538,Sanctor Capital,2,2021,9,6,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.2787456445993031,0.06349206349206349,4.5,3.0,0.46875,Specialized,L3
aa09f42b-6438-2ed6-e76b-e1f5884a4984,IMO Ventures,2,2021,11,7,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.4181184668989547,0.08707482993197278,5.5,3.5,0.46875,Specialized,L3
19850640-defb-42a5-9be4-5f7164e96e35,New Wave (VC),2,2021,8,7,0.2222222222222222,0.5,0.5,0.5,0.2727272727272727,0.21951219512195122,0.08707482993197278,4.0,3.5,0.46875,Focused,L3
b94b966a-171c-4454-d9fb-2369dafcc4c0,Greenoaks,3,2021,10,8,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.22880371660859466,0.07558578987150415,3.3333333333333335,2.6666666666666665,0.35416666666666663,Specialized,L4
af78398e-58ce-45fc-8006-1232d66d6000,Air Street Capital,3,2021,8,7,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.14518002322880372,0.05744520030234315,2.6666666666666665,2.3333333333333335,0.3333333333333333,Balanced,L4
e24eb956-a671-46fe-a04b-d461684f016b,Blockdaemon,3,2021,8,7,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.14518002322880372,0.05744520030234315,2.6666666666666665,2.3333333333333335,0.3333333333333333,Balanced,L4
cf2c678c-b81a-80c3-10d1-9c5e76448e51,OpenAI,3,2021,9,7,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.18466898954703834,0.05744520030234315,3.0,2.3333333333333335,0.3333333333333333,Focused,L4
d0b1b4a3-e2bd-484d-95ee-944db6da1b66,Sarah Niyogi,1,2021,4,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.030839002267573697,4.0,3.0,0.3125,Diverse,L4
6ec44f42-6215-42c7-b69f-1abed2888a14,Mary-Catherine Lader,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
1a74bd6d-cf69-1176-6bc9-a1e2caf64d60,Omega Funds,1,2021,3,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.08888888888888889,3.0,5.0,0.3125,Universalist,L4
90eda6d5-183b-4588-aa57-353b19f152c9,Chase Lochmiller,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
500ed004-27c8-454a-922a-2c285246b729,Songyee Yoon,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
8053b6fe-48b6-46d1-aaec-4d92f7c9c714,Yi Sun,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
236dcf0c-1e1f-d322-ada6-d357108bfb55,Alex Macdonald,1,2021,5,4,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.17073170731707318,0.05623582766439909,5.0,4.0,0.3125,Focused,L4
545ea2c6-8ead-4112-b72d-4550b52b4872,Generalist,1,2021,2,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.024390243902439025,0.030839002267573697,2.0,3.0,0.3125,Universalist,L4
054264cb-fb84-4ba3-b43c-f1916228538e,Chafic Kazoun,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
cf9919f1-a2eb-d1a5-fb6e-cf29d2ac560d,Two Small Fish Ventures,1,2021,4,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.08888888888888889,4.0,5.0,0.3125,Diverse,L4
82fca4ea-b6df-4f5b-afbb-ca500ed86576,Jakob Uszkoreit,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
066b64bb-ab8b-4faf-a1e8-ee7b2a187fda,Knollwood Capital,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
c920b8f7-070a-3481-ee17-439529bb66e5,Michael Kohen,1,2021,6,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.030839002267573697,6.0,3.0,0.3125,Specialized,L4
41a05d91-6433-456c-9eec-66faf44da621,ox maki,1,2021,2,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.024390243902439025,0.030839002267573697,2.0,3.0,0.3125,Universalist,L4
e0784dcf-5e1c-42fc-ae31-bbb7a968b7fc,AAFM,1,2021,2,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.024390243902439025,0.030839002267573697,2.0,3.0,0.3125,Universalist,L4
45f5d3dd-0ee1-42d7-810d-9bbccd01188a,Frontiers Capital,1,2021,6,4,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.05623582766439909,6.0,4.0,0.3125,Specialized,L4
552ab1c2-dd52-4b39-b91f-3ad64109c973,Exponential Ventures,1,2021,6,4,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.05623582766439909,6.0,4.0,0.3125,Specialized,L4
f3a17005-752e-4140-87ac-c2a8c027a997,Continue Capital,1,2021,6,4,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.05623582766439909,6.0,4.0,0.3125,Specialized,L4
5c023bff-d1dc-4bd7-bf9b-304a9fb1912d,Alex Atallah,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
12194a43-5266-968b-bcee-9ce9bca9ae67,Zach Frankel,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
5271de9b-275a-05c5-3d50-e004455a409e,Nir Polak,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
245f1dc1-d691-c0f6-367e-b0bf5b4c251a,Dave Eisenberg,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
70db5de1-7334-d744-5e6d-31c9e3b8d764,RA Capital Management,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
c2f6c5c7-c016-4182-b409-f2176c7fdbab,Presight Capital,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
cf9f3470-70db-4551-77f6-5b498a980270,Pieter Abbeel,1,2021,5,6,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.17073170731707318,0.1287981859410431,5.0,6.0,0.3125,Focused,L4
8c2ca232-1ba6-45d4-9c3d-d2947001674d,Ashish Vaswani,1,2021,5,6,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.17073170731707318,0.1287981859410431,5.0,6.0,0.3125,Focused,L4
778b1dbc-9141-46f1-b84a-d7ee9823c094,Christopher Benassi,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
3673a629-6c39-8056-4489-5604f1c5c7cb,Medicxi,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
72678e37-000d-1cfd-e30f-8c9e4e11670f,Calibrate Ventures,1,2021,5,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.17073170731707318,0.030839002267573697,5.0,3.0,0.3125,Focused,L4
626d5344-b1a9-4b95-8589-76498c53e673,Joshua Steinman,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
51e0cb41-461f-3d82-35a6-04fa44ef9346,Berggruen Holdings,1,2021,4,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.08888888888888889,4.0,5.0,0.3125,Diverse,L4
5af12b80-030f-4c98-929d-4376f40e1f30,Jason Derulo,1,2021,1,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.003484320557491289,0.030839002267573697,1.0,3.0,0.3125,Universalist,L4
7a1685a4-d9b8-68dc-e8b1-13d063343a93,Harry Stebbings,1,2021,4,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.030839002267573697,4.0,3.0,0.3125,Diverse,L4
69cb82fa-240a-6580-7f75-c59e956100b2,Nathan Benaich,1,2021,4,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.030839002267573697,4.0,3.0,0.3125,Diverse,L4
3c294ebb-b42a-9f8e-5052-b32fc9041f4e,John Collison,1,2021,3,1,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.0018140589569160999,3.0,1.0,0.3125,Universalist,L4
40f13287-7dab-a2c4-793b-e1c46a4175ea,Factory,1,2021,6,5,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.24738675958188153,0.08888888888888889,6.0,5.0,0.3125,Specialized,L4
b8e91917-80b4-9651-0086-2c5588218a7a,Nabeel Hyatt,1,2021,3,1,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.0018140589569160999,3.0,1.0,0.3125,Universalist,L4
776502c0-cbc7-42d1-85ce-1e6c821fff4d,Patrick Collison,1,2021,3,1,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.0018140589569160999,3.0,1.0,0.3125,Universalist,L4
b2f739ea-b626-a0fc-5795-a539c37fc3d4,Fraser Kelton,1,2021,4,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.030839002267573697,4.0,3.0,0.3125,Diverse,L4
c753f8e9-7065-55f9-f063-13d01d38a97f,Larry Braitman,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
ee8b336b-95b1-4133-acbf-fc66e02a0880,AJ Scaramucci,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
c812b61b-918c-d110-07c4-94d636025e54,Meron Capital,1,2021,4,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.10801393728222997,0.030839002267573697,4.0,3.0,0.3125,Diverse,L4
e0cacc1d-5872-4073-bb9f-52080ad9768d,Jacob Helberg,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
45a90b77-9e8f-e5ea-e508-2068c72e90e3,5AM Ventures,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
6f2acf2a-5cbf-adb1-cbb4-5829ab0b08cd,Atlas Venture,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
8fe18f07-9977-446a-b527-e1cadb268d4f,Sam Kirschner,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
27236fa1-5eba-bae0-fc7c-a1e0cdba1132,Eric Del Balso,1,2021,3,3,0.1111111111111111,1.0,1.0,0.0,0.2727272727272727,0.059233449477351915,0.030839002267573697,3.0,3.0,0.3125,Universalist,L4
ad242608-f983-4442-bcff-df8aa9384658,NoLimit Holdings,3,2021,11,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.2775842044134727,0.05744520030234315,3.6666666666666665,2.3333333333333335,0.31249999999999994,Specialized,L4
3009be7d-1876-4ae2-b483-c5e6f5b9d9a4,AlphaCrypto Capital,3,2021,9,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2727272727272727,0.18466898954703834,0.028420256991685565,3.0,1.6666666666666667,0.31249999999999994,Focused,L4
ba5431bd-fd94-4802-acd8-fdf73b26ea5e,Eterna Capital,4,2021,14,15,0.4444444444444444,0.5,0.25,0.25,0.2727272727272727,0.33797909407665505,0.20226757369614512,3.5,3.75,0.25,Specialized,L4
c24af4d0-af50-424b-a596-be29d103c2cc,Wise3 Ventures,4,2021,10,9,0.4444444444444444,0.25,0.25,0.25,0.2727272727272727,0.17073170731707318,0.07165532879818594,2.5,2.25,0.234375,Focused,L4
5d3d25e6-96d3-4653-adf8-643a5d0329b3,nonce Classic,4,2021,11,9,0.4444444444444444,0.25,0.25,0.25,0.2727272727272727,0.2073170731707317,0.07165532879818594,2.75,2.25,0.234375,Focused,L4
d29973c3-95ec-691d-defd-6a6ba713c72a,Redpoint,6,2021,8,17,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.2727272727272727,0.07084785133565621,0.1729402872260015,1.3333333333333333,2.8333333333333335,0.21875,Diverse,L4
bdd6b7d4-9846-d4e2-29d7-7e5acf17c034,Delphi Ventures,5,2021,13,10,0.5555555555555556,0.2,0.2,0.2,0.2727272727272727,0.23205574912891985,0.0707482993197279,2.6,2.0,0.1875,Specialized,L5
5f44eb69-ad9f-4114-a61b-12ae8af243a1,Lecca Ventures,5,2021,11,13,0.5555555555555556,0.2,0.2,0.2,0.2727272727272727,0.1651567944250871,0.12081632653061224,2.2,2.6,0.1875,Focused,L5
fe08a016-98be-4329-84eb-9f4981e3d57f,Dawn Song,2,2021,8,7,0.2222222222222222,1.0,0.5,0.0,0.2727272727272727,0.21951219512195122,0.08707482993197278,4.0,3.5,0.1875,Focused,L5
c62d5655-7463-1be8-c14d-530ee656589b,Yann LeCun,2,2021,7,10,0.2222222222222222,1.0,0.5,0.0,0.2727272727272727,0.1672473867595819,0.17959183673469387,3.5,5.0,0.1875,Focused,L5
66c68acc-7f23-4b29-90cd-661a50656186,MV Global,5,2021,10,10,0.5555555555555556,0.2,0.2,0.2,0.2727272727272727,0.13588850174216027,0.0707482993197279,2.0,2.0,0.1875,Balanced,L5
18e6befc-35cb-47a6-a931-3be2e93abd90,Justin Hamilton,2,2021,4,6,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.05226480836236934,0.06349206349206349,2.0,3.0,0.15625,Universalist,L5
01c40e57-ade3-4c75-a243-1f20a729dcdd,SLVC,2,2021,7,7,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.08707482993197278,3.5,3.5,0.15625,Focused,L5
cf0d8464-c30b-39cc-4de8-bf1fbdc58739,DHVC,2,2021,7,5,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.04353741496598639,3.5,2.5,0.15625,Focused,L5
4536ad32-a94b-4786-a6dd-137708fbaeaa,Breyer Labs,2,2021,10,7,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.34494773519163763,0.08707482993197278,5.0,3.5,0.15625,Specialized,L5
1c49390f-658e-4d35-8180-baee0e7f0731,NVentures,2,2021,11,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.4181184668989547,0.11428571428571428,5.5,4.0,0.15625,Specialized,L5
01e4842c-1ffa-f55e-420f-b06d2b333dd5,Dimitri Sirota,2,2021,6,5,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.12195121951219512,0.04353741496598639,3.0,2.5,0.15625,Balanced,L5
45dea655-2e46-4145-9f95-895f5da22317,Jordan Fish,2,2021,2,3,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.010452961672473868,0.014512471655328799,1.0,1.5,0.15625,Universalist,L5
7174e289-22d1-931f-cf95-779361325132,Devin Wenig,2,2021,7,4,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.027210884353741496,3.5,2.0,0.15625,Focused,L5
ac835562-7458-e662-5a62-deb321994a5d,Eric Futoran,2,2021,9,7,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.2787456445993031,0.08707482993197278,4.5,3.5,0.15625,Specialized,L5
7e206f5c-f047-062c-07b8-69a15cca92e7,Avant Global,2,2021,5,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.08362369337979095,0.11428571428571428,2.5,4.0,0.15625,Diverse,L5
1ce00834-ed10-2852-3ffb-dc0eeff79766,Kelvin Dongho Kim,2,2021,9,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.2787456445993031,0.11428571428571428,4.5,4.0,0.15625,Specialized,L5
5ac68ac8-17a2-4ba1-b392-d9668dd265f3,Definition,2,2021,7,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.11428571428571428,3.5,4.0,0.15625,Focused,L5
09b5465c-3b84-35d4-1e70-58d937be41c0,Oriol Vinyals,2,2021,6,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.12195121951219512,0.11428571428571428,3.0,4.0,0.15625,Balanced,L5
77a64f09-eeb4-42eb-a7af-6474dfae2842,Samsung NEXT’s Q Fund,2,2021,7,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.11428571428571428,3.5,4.0,0.15625,Focused,L5
69ba8866-c721-28e3-8b53-d10d81cece26,Scott Banister,2,2021,7,8,0.2222222222222222,0.5,0.5,0.0,0.2727272727272727,0.1672473867595819,0.11428571428571428,3.5,4.0,0.15625,Focused,L5
