,founded_year,org_uuid,category_list,category_groups_list,total_funding_usd,ultimate_outlier_success_250_mil_raise,interim_success_100_mil_founded_year_2019_or_above,recent_success_25_mil_raise_founded_year_2022_or_above,investor_uuids
34303,2022,1f7e3dd0-3a13-40d6-9690-77cbe4d6079d,"FinTech,SaaS,Software","Financial Services,Software",39000000.0,0,0,1,"5119c927-6a9f-4535-ad4f-be535ecb465e, c929ef9e-1b2c-c937-d461-deba82691dfd, 5c178b55-9a36-b732-f714-3897fe766e02, 157ade4c-ba9b-4a83-bc24-533e8da84b68, 9c8f95d6-aae3-256e-84cf-3be9ee654c14, 663da10f-926d-595e-4756-9419c1cd53f7, fbda21dd-1b23-f301-a26b-b97fec60ad36, ec7c19d9-e059-98a7-417a-66761eab14b0, fedc2e49-2150-7104-ddb5-cb155d3eb1fc, 52652f4d-581e-4ad5-9d06-b1b250a333cd, 6524948f-6406-4062-9e22-ab8d5c261f50, a17ad7cf-0484-4c18-b28b-9888457fb987"
34864,2022,679d2e40-6976-4657-ab20-e5b6a0af02ee,"Automotive,Mineral,Mining,Natural Resources","Natural Resources,Sustainability,Transportation",12000000.0,0,0,0,"ceeaea05-6bff-41bd-a4b1-662ae87b9555, e98345ec-cc19-bd4c-f502-affff6b3ec87, f924aa49-d884-c97a-dfce-9051dc395b1b, dd5558ab-d27c-44bf-9be1-9772bbc804bb, 6932c647-065f-422a-ab07-93a8f608386b, 41ee2fa8-c82c-4944-a7cd-25850159eb7d, a30601ed-5e33-4bb6-9546-37ea0cc6bef3, ee2800fb-9e8c-6d2d-3b59-3cb294376185, cf1959ce-c8c4-42c2-82a7-23609dc1d937, 6fe555cd-e8d3-3102-0b14-856523eb98c1, e92afab6-f084-b7a3-b078-b4ce5dac55d7, 3eb5284f-f1d3-46f6-b898-7d63292e0d18, ccbd3a8f-99ed-44fe-9b52-d93ca6cd504a, 249a0e99-4a8d-0237-7ae6-afe9d274f005, d4b691b2-66c7-440f-a2c1-6cee2b4aacc8, f63055a5-a077-f7ad-2ace-9dbbac22a366, 1e3080e1-5758-0b42-99bc-9695fb0e2371, beec6253-8e34-4f96-94dd-d8ae288ba73f, 5d98f331-124f-1cc2-e3c9-001a6fe2fbf1, 42c0e4d2-d39d-4403-a3b0-dae552fd73ed, a7b412c7-d50a-4983-891f-715aea9377c7"
35325,2023,f2e4fc29-615d-4168-9c35-db77fff71d50,"Blockchain,Web3","Blockchain and Cryptocurrency,Internet Services,Other",,0,0,0,"375e1f5c-45b8-4a9c-a8d4-7bdaf048fb37, 6e07b116-bb08-4255-bb51-9652f6b2b5b3, b87c955e-4253-4e59-94a8-4bb14d1ac27e, 9cc84cd9-8db0-48ef-9319-e3fda2871531, dd2f5008-f9ad-4965-ba08-4301f993a30a, 80b8cc00-c5e7-46ab-a997-2d899a1be9c1"
35487,2023,d9bc389c-ee20-415c-85ce-0d0fd8b78deb,"Artificial Intelligence (AI),Generative AI,Intelligent Systems","Artificial Intelligence (AI),Data and Analytics,Science and Engineering,Software",2400000.0,0,0,0,"8426c4a7-1fff-c3d8-9af4-e673a788212d, b344a285-cf12-93d7-d669-857ab75be00e, 0ae71fae-869e-1e65-f859-f65239e70de5"
33838,2022,da388d72-56dc-4eca-81fd-25dae35c4a85,"Blockchain,Web3","Blockchain and Cryptocurrency,Internet Services,Other",,0,0,0,"20d76334-598e-4f34-825e-20c598e2122e, 1ef93bca-33b8-4cb2-82cf-75d6df1123fd, 455de26b-8696-4171-9052-7710e19af2ba, 2fddbcd7-136a-410a-8515-614302e7e17b, c7f867bf-3934-40a9-aaad-491d2f60b3ac, 5e03d406-077c-dd9b-ff88-caa9ff2674dd, 9a1d1af4-0b8a-4a00-accc-2ac5aae3ec20, 7c504f19-c530-484d-9da0-0c89a3e20b62, ae172858-f8ad-479c-ba99-44a23586cd11, 7e141b56-890e-4cef-8d82-3661100e1823, 8ee92eb1-ea48-4a29-8457-d5d4c930f91b, 5b992092-2bb0-4073-abbd-d13d5f5e5030, 08f112ee-eee9-47dd-b0c8-7d8f5509c0c2, d568a79d-7dd7-4d02-95a3-2dfef633cb03"
36380,2023,66d49825-bb96-4bba-9e5b-aeee1f196ba5,"Artificial Intelligence (AI),Developer Tools,Software","Artificial Intelligence (AI),Data and Analytics,Science and Engineering,Software",2000000.0,0,0,0,"6af8fefa-4288-04e0-91ba-b0f4c6227e7f, 8e472f3c-d4a4-4376-b47d-371e72ce524e, 75503f22-6420-4a60-bdc8-4cbc5f38e768, 7a6a2f66-6b99-4dff-962d-3cf3025e6dcf, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e"
33595,2022,e2d92da9-e53b-4949-857a-32c7e36fec80,"Cyber Security,Identity Management","Information Technology,Privacy and Security",350000.0,0,0,0,eb1c7b3f-0764-9754-4c2b-fbcc9542d27a
35611,2023,b27f91a2-eb74-4b2a-91d1-7545679fe520,"Developer APIs,Developer Tools,Email,Information Technology","Information Technology,Internet Services,Messaging and Telecommunications,Software",3500000.0,0,0,0,"c144ff3c-ff98-a4b5-e24b-ea333bf3ed58, 20ece561-ff54-fb7d-ef2e-a8203c8ea4ed, 8fe9c3ab-ffe8-f027-b152-a5eb2d974c64, 25fd5df0-7cb3-03b9-71d2-cc6449e00c22, 54e6b91c-bca3-4b98-61f0-d33bcd359a3e, f644352a-5dbd-1c0e-fe20-286831c0dbc0, 356bd44c-09ca-54fb-9a0f-f30167968a6f, 48799440-ee04-35a0-1f7c-9ece8b4aa6ef, 445294f9-361f-4745-9888-052b754e278e, 226105a5-e968-6bc0-288a-c501f7bdadbf, 0743489b-cc0d-7b22-96af-62d8d2dc6aa0, 902deab4-ec41-68ce-d9df-c0c959578176, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e, 620fbfec-73c7-45b0-be69-ca8c40a5554f"
33828,2022,de7d3611-1063-411c-8ee5-42289f10fe7b,"Credit Cards,Financial Services,FinTech,Payments","Financial Services,Lending and Investments,Payments",7150983.0,0,0,0,"a697c902-7717-426b-b792-2029b4c69516, 083926bd-fb8f-4cd9-bac5-9dd5bafe4cb1, 9d11d829-645f-4ebe-bbd1-e84d1a0ddaf0"
35297,2023,9e9cc980-3a3f-4e6b-a58e-94ccacd5c196,"Cyber Security,SaaS,Software","Information Technology,Privacy and Security,Software",,0,0,0,"432e5c35-ec41-89a9-efa5-dfd30b3d6b6c, 669ce484-85e7-1537-e2e0-14e4b2bab22c, 6afc0f00-c9a4-05bd-df1d-4f6251f01bee, 62b8435d-a4de-dd9d-10d5-d6a1dc7a6328"
33328,2022,f4fbfc7e-47c7-4a83-8b3e-a8b4c739dbfd,"Finance,Financial Services,FinTech,Real Estate","Financial Services,Real Estate",,0,0,0,d2261045-b4a4-4ad1-b681-5e3d7e094ef6
34974,2023,1f619f5d-1a83-43c9-87d7-6dab15087c19,"Artificial Intelligence (AI),B2B,Open Source","Artificial Intelligence (AI),Data and Analytics,Other,Science and Engineering,Software",500000.0,0,0,0,"c96f33d3-ac17-23cb-d6a6-ce49e5c67a29, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e"
33849,2022,ca5e9781-8ed9-4209-a8ea-962536378e3a,"Financial Services,Software","Financial Services,Software",,0,0,0,c52184d5-cac1-10fa-39a7-0378764f2dc3
36298,2023,abd7effa-e7ed-455d-949f-a03dc68478c2,"Finance,Financial Services,Software","Financial Services,Software",4500000.0,0,0,0,"e7442a98-a043-dd5c-5def-ebcc56fb78ce, 731e16fc-2490-45d4-9414-fad086a34151"
32506,2022,79196b04-9aec-47ba-948a-be2f6b852882,"Blockchain,Cryptocurrency,Financial Services","Blockchain and Cryptocurrency,Financial Services,Other,Payments,Software",6000000.0,0,0,0,"566d5a33-1fa4-4768-9ec1-ed6eff2b5fb9, 2e8ef0b0-d989-4a87-988b-9dec08d6e92e, 6589ff2a-aff1-4421-b63e-998e504eb55e, 9d70a647-409b-47af-812a-c0ff49b66cd5, d73cb521-e107-4b8a-826d-acfad65c5201, 99cd6ce0-5881-48e6-95e2-82fc79a5fd60, 2440a92f-2d32-e2f1-43b1-2aa11b98129d, 5941df0f-3812-ab99-6645-db0e17588815, 44686d00-b4f5-413d-b5bb-6b7cb9f3e38f, 9a1d1af4-0b8a-4a00-accc-2ac5aae3ec20, 20242b76-1950-6156-2811-f7171fc99de8, 7b40bdca-5515-4c63-8d10-9793a77d99b2, 2477362a-262b-46db-b83f-d990c16269b3, caffa196-af7d-4670-9233-29f77b769c45, 4b13b424-d02b-400b-abef-b0311e430c47, 7d424fe4-0038-4322-939e-0a1518e7f2b0, 9f2f1bf0-4139-7ae1-72cb-123d5ad08370"
36002,2023,0c7004ba-5686-4a5b-89ff-423a99bd077d,"Artificial Intelligence (AI),Finance,Generative AI","Artificial Intelligence (AI),Data and Analytics,Financial Services,Science and Engineering,Software",500000.0,0,0,0,"c96f33d3-ac17-23cb-d6a6-ce49e5c67a29, 73633ee4-ea65-2967-6c5d-9b5fec7d2d5e"
34077,2022,c15f6279-d80d-4248-b144-433053e7d36b,"Bitcoin,Blockchain,Cryptocurrency","Blockchain and Cryptocurrency,Financial Services,Other,Payments,Software",150000000.0,0,1,1,"cbf72215-6a1c-f4ef-e17f-0a958eca3dac, 7db3c9dd-8ed7-daf7-b00a-227531fb7df1, 53acad3e-0261-3b2f-eca6-dfa48328d9ec, a2afba9e-c6bb-4c8d-b073-337f5a8eae76, 1a8cfa1b-bd40-4496-82e4-a689796935ae, c3360f3d-c77c-4d7b-be34-e7a030e79c07, b5d0d7dd-cfc2-4c56-9ed4-847db73f8cee"
33508,2022,bcaee60c-9162-4f0a-8e13-519278bd4e6e,"Digital Media,Finance,FinTech,Information Services,Information Technology,Insurance,InsurTech","Financial Services,Information Technology,Media and Entertainment",450000.0,0,0,0,"1b8c6ac7-f1f3-403f-a330-9ce21bb6c732, f0ae70f9-1be2-4efa-a1a3-5ef7ffc4d46f"
33984,2022,d21179be-a351-4ff4-aafe-dec5a62f7390,"Artificial Intelligence (AI),Biotechnology","Artificial Intelligence (AI),Biotechnology,Data and Analytics,Science and Engineering,Software",300000.0,0,0,0,a78a6393-f866-c957-a8c5-71108f128f4f
