investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
a1b09f96-40b7-83aa-7358-e6404c539c2a,0.1111111111111111,0.4545454545454545,0.9375,Universalist,L1
3989cbe1-a20d-661d-d736-551d4611f68b,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
529021ed-818e-5d23-ebef-54c17c4e72aa,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
98c14e9b-bc26-377e-0b0a-01b6a9f4e3a9,0.2222222222222222,0.8181818181818182,0.75,Specialized,L2
08ce5b92-6fc4-7143-3dcd-8401cd8f0aa2,0.1111111111111111,1.0,0.625,Balanced,L2
ba9efb8f-9d54-98b5-8b06-bc92494cb204,0.1111111111111111,1.0,0.625,Specialized,L2
c06aede0-9fe4-4406-a44c-8068a31b7775,0.1111111111111111,0.8181818181818182,0.625,Diverse,L2
c1985697-9ab1-4f7f-697e-af2d199aba09,0.1111111111111111,1.0,0.625,Balanced,L2
e4b99e41-7acd-2744-4206-a624c68a8798,0.1111111111111111,1.0,0.625,Universalist,L2
eb1b95ce-a931-086b-74c2-ac8e55f1f66e,0.1111111111111111,1.0,0.625,Universalist,L2
f650f0aa-15d9-3013-0395-df9290ffd5fb,0.1111111111111111,0.8181818181818182,0.625,Universalist,L2
75148659-7960-eea3-4ef9-00dc7aa954d5,0.1111111111111111,1.0,0.625,Focused,L2
01d887c4-03a5-0c13-ee92-bb685692e8c6,0.2222222222222222,1.0,0.4375,Focused,L3
fd98b844-c530-b998-24d2-64c961fc49e3,0.2222222222222222,1.0,0.4375,Balanced,L3
cd661b36-f566-dbdc-cfdb-a640808293a4,0.3333333333333333,1.0,0.4166666666666666,Diverse,L3
c50ef93a-0ef0-7f37-03fa-de89a7ea10e8,0.3333333333333333,0.6363636363636364,0.3958333333333333,Diverse,L3
a07996c9-b583-5a8c-03ee-467b5c51e231,1.1111111111111112,1.0,0.34375,Specialized,L4
e54e44de-ca26-b8e3-5669-1f31d4485ee3,0.2222222222222222,1.0,0.3125,Balanced,L4
51e0cb41-461f-3d82-35a6-04fa44ef9346,0.2222222222222222,1.0,0.3125,Balanced,L4
2ef0ba43-369a-b212-4018-ad56dd5419fe,0.2222222222222222,1.0,0.3125,Balanced,L4
388e766d-254a-79b4-c2a8-40014f20aeb2,0.2222222222222222,1.0,0.3125,Balanced,L4
3999d0be-6d00-1ce6-2616-3f1da6e09184,0.4444444444444444,1.0,0.3125,Diverse,L4
4455d476-d14e-b1d7-d481-ea6620a6d063,1.1111111111111112,1.0,0.3125,Focused,L4
0938c352-88c6-4f93-b0ba-25d51a9ee9ca,0.2222222222222222,0.7272727272727273,0.3125,Focused,L4
c639d641-7f02-5076-358b-cc0ec3241e75,0.2222222222222222,1.0,0.3125,Diverse,L4
a066dfe4-089d-32ac-ab09-731593678d2e,0.2222222222222222,1.0,0.3125,Universalist,L4
6dc0f52e-929b-342f-2add-d4e3858db6dd,0.2222222222222222,1.0,0.3125,Universalist,L4
05a36417-e653-a903-e76f-0d666a9848b7,0.2222222222222222,0.7272727272727273,0.3125,Universalist,L4
