investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
4b3b3bb1-6d44-3282-ad55-0eadf4a0a52f,1.5,11,5.555555555555555,Universalist,L3
8ea4648c-0b42-09a0-bfdd-2712317161b5,1.8333333333333333,11,7.954545454545455,Universalist,L4
b9a1ce42-1145-3187-3486-85fcc34da0bd,0.75,10,9.444444444444445,Universalist,L4
7ea7600a-9e3c-464e-b0ca-6309f1ce7af5,0.1666666666666666,7,10.625,Diverse,L4
d370dc6d-d969-876f-bf24-dccf34b84a91,0.3333333333333333,7,15.9375,Universalist,L5
69dfbe19-6fdf-d2c0-1b36-50bb3b123c21,0.3333333333333333,11,15.9375,Universalist,L5
f77b0a0c-e28d-1be8-3439-a0f064a839a8,0.3333333333333333,7,15.9375,Diverse,L5
22bf8d0e-a534-86bb-6e5d-a44a0c354c20,0.4166666666666667,7,17.0,Universalist,L5
95df67a5-a8ca-6821-8b5e-3b990b13c44d,0.8333333333333334,11,17.5,Universalist,L5
2cc51492-451b-462e-8987-a7fcdd304220,0.4166666666666667,7,34.0,Universalist,L5
