investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
4de9f548-cf7e-2ec9-a605-ce1197646abb,4.416666666666667,10,0.0943396226415094,Universalist,L1
d34d3e3d-74b5-4597-8fff-1dafbf32ab03,3.0,10,0.1388888888888889,Universalist,L1
2b2b6a73-5717-4e23-8b21-51a684a97281,2.5,8,0.1666666666666666,Universalist,L1
ae6b7aa5-63f8-4c8c-ad50-2eb1cf1b3f49,1.3333333333333333,9,0.3125,Universalist,L1
6f3291db-b38a-fb36-cd12-85f04c822aef,1.0833333333333333,10,0.3846153846153846,Universalist,L1
e14920f4-9c27-422b-a6e6-f541041f94ca,2.1666666666666665,9,0.3846153846153846,Universalist,L1
6d60e755-c96d-4959-a039-a23e004c7f52,0.9166666666666666,7,0.4545454545454546,Universalist,L1
0db25f59-2478-4ec8-8f9a-68d5db3b4770,1.75,7,0.4761904761904762,Universalist,L1
2480a427-ca1d-8d06-3fab-0baaf5ad3215,0.1666666666666666,3,0.625,Balanced,L1
c1de8393-7373-264b-bf87-42681e34ba9e,0.1666666666666666,3,0.625,Balanced,L1
e193dc05-a3f2-4693-88bf-a85fee6fac93,0.1666666666666666,7,0.625,Diverse,L1
92da1221-8bc0-8212-4be6-2e68cd5f05b1,0.1666666666666666,4,0.625,Focused,L1
dc1a5f96-ff64-fb41-253b-12f91f0420b9,0.1666666666666666,4,0.625,Focused,L1
8e59bf9f-3b0f-5011-e12e-937d0a1bcd13,0.1666666666666666,3,0.625,Focused,L1
277c683a-f5ca-31e0-5169-340aa90a277e,0.1666666666666666,7,0.625,Balanced,L1
00e435dd-f616-27b3-9128-58fb909d04b4,0.1666666666666666,5,0.625,Balanced,L1
1d00f859-6fcc-ae56-e2db-8cdc597d787c,0.25,11,0.8333333333333333,Universalist,L1
56c74675-7b2e-4e08-acab-226065684cd6,0.4166666666666667,4,1.0,Universalist,L2
0cca3968-002f-4d7e-8a13-3c63f29da1e0,0.1666666666666666,4,1.25,Specialist,L2
560cf966-28f5-461a-bdeb-d4a1a5668c60,0.6666666666666666,6,1.875,Balanced,L2
55d85218-69fc-0338-0c26-43c2bdeeaf0e,3.6666666666666665,11,1.9318181818181817,Universalist,L2
03dfca70-dcfa-c445-e0d5-d2b1f736dc9e,3.75,11,2.111111111111111,Universalist,L2
acddc982-f23b-b2c6-6025-3e9efbfd6ed4,7.0,11,2.321428571428571,Universalist,L2
044a1684-b8ff-b572-a85a-e960ff6cca9f,2.833333333333333,11,2.5,Universalist,L2
b41959f6-81f1-7a87-ad54-b8af852e2eab,0.1666666666666666,5,2.5,Specialist,L2
0d318a19-348d-4af1-aeff-65e9e6e14d2f,2.9166666666666665,11,2.8571428571428568,Universalist,L3
304173b9-c7a4-6305-9961-20239db03c87,14.916666666666666,11,2.988826815642458,Universalist,L3
1701de8e-e4d2-d1c4-ff31-f50a15a65ded,1.6666666666666667,11,4.25,Universalist,L3
5ad70f24-23f2-418e-84d1-419ab8f5d963,1.9166666666666667,10,4.3478260869565215,Universalist,L3
16b9665b-8b74-d429-17a4-977e10a959c3,6.416666666666667,11,4.545454545454546,Universalist,L3
f63055a5-a077-f7ad-2ace-9dbbac22a366,3.25,11,4.615384615384615,Universalist,L3
1e309280-fcdf-c5a1-004e-688b7cdf12fa,1.4166666666666667,9,4.999999999999999,Universalist,L3
cf7d7212-adf8-25dc-53a4-f7c3c61afdbe,6.5,11,5.448717948717948,Universalist,L3
bce0f5dd-535e-7d9c-ae40-a5d019f93615,1.25,11,5.666666666666667,Universalist,L3
15bbf79e-c017-5760-eda6-368e7f77b91e,6.083333333333333,11,5.821917808219179,Universalist,L3
47b84763-9727-7cdf-b194-2742e3963147,11.5,11,6.195652173913043,Universalist,L3
2796310b-3159-922a-9306-4bc91f7e1dab,2.4166666666666665,11,6.206896551724138,Universalist,L3
e7442a98-a043-dd5c-5def-ebcc56fb78ce,12.25,11,6.394557823129252,Universalist,L3
93d8ab02-8795-8324-232d-15604b38566f,1.0833333333333333,11,7.3076923076923075,Universalist,L3
9de88f94-1bcf-4af8-be29-8aa15c0ed7d6,2.0,8,7.499999999999999,Universalist,L3
7588e4a5-3bb1-6391-01a9-e27941f06e82,0.9166666666666666,11,7.727272727272727,Universalist,L3
02325cea-62bc-596d-79d8-364541003bef,0.9166666666666666,11,8.181818181818182,Universalist,L4
