investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
85393710-043f-de76-7010-d8d63c97d749,0.1111111111111111,0.8181818181818182,0.625,Balanced,L2
0cb6006e-36cd-c9c2-7163-df55d7533832,0.1111111111111111,0.8181818181818182,0.625,Balanced,L2
a8ffee70-5dbb-511d-5d56-50ccf09dffe5,0.1111111111111111,0.8181818181818182,0.625,Balanced,L2
345c6079-6d50-47f9-4f3b-b93cdd427724,0.1111111111111111,0.8181818181818182,0.625,Balanced,L2
7d1b0b26-34ee-7c5c-3d2b-00af580266a4,0.1111111111111111,0.8181818181818182,0.625,Balanced,L2
9b26b099-d6d7-4505-8b11-2c7b7fd641ea,0.2222222222222222,0.6363636363636364,0.4375,Diverse,L3
1fa8c191-49ff-46ba-9283-eeff1eb9a633,0.3333333333333333,0.6363636363636364,0.375,Diverse,L4
14d2cba2-8e38-2a1a-1edb-0c9933e914f6,0.2222222222222222,0.9090909090909092,0.3125,Balanced,L4
ae63a90d-9a92-4b69-9887-9dfdcf3a74b1,0.1111111111111111,0.3636363636363636,0.3125,Universalist,L4
242fa850-baba-927c-d9ca-4909453684b8,0.2222222222222222,0.8181818181818182,0.3125,Focused,L4
46a7d7b9-83db-ab29-171d-8fcc1c926091,0.2222222222222222,0.8181818181818182,0.3125,Focused,L4
89518cc4-af9b-44a1-97c0-a0ee3f183d9b,0.2222222222222222,0.8181818181818182,0.3125,Specialized,L4
3d725c9b-7010-3627-bb2b-ccad5f8fc76a,0.4444444444444444,0.8181818181818182,0.21875,Balanced,L4
114dc1cd-6c07-c366-7c0a-a173bd5f5749,0.4444444444444444,1.0,0.15625,Specialized,L5
03a6288b-ad1f-5803-762b-ceeb01de7e26,0.8888888888888888,0.9090909090909092,0.1171875,Focused,L5
570afeb9-317b-979a-d328-645db95c213d,1.4444444444444444,0.7272727272727273,0.1153846153846153,Balanced,L5
04a364bc-6d85-d7d4-6169-71fd27099229,1.5555555555555556,1.0,0.1116071428571428,Focused,L5
8930a5dc-c50d-2ab7-1a7a-3fcb7ff1825f,0.6666666666666666,1.0,0.1041666666666666,Specialized,L5
2cb39954-6177-68c3-59a9-8a4fda1938a6,0.8888888888888888,1.0,0.0859375,Specialized,L5
c3909467-4c5b-8539-112a-9450939b5d25,2.111111111111111,1.0,0.0822368421052631,Specialized,L5
f0f12a36-d753-673a-df84-b7926bcaeb44,0.6666666666666666,0.7272727272727273,0.0729166666666666,Diverse,L5
3e2502aa-2441-4750-809d-e32e33eb9b0c,1.0,1.0,0.0694444444444444,Specialized,L5
e590dd8d-fbdf-3e7d-73fa-23039a57b5b2,3.0,1.0,0.0671296296296296,Focused,L5
49315da3-4c66-f9ee-6070-37072a99f21a,1.1111111111111112,1.0,0.0625,Balanced,L5
ede087bb-823f-d0c5-c9f4-05de420da4c5,0.1111111111111111,0.4545454545454545,0.0625,Universalist,L5
a609d7cb-2afc-113e-28e2-374cec2885fe,0.5555555555555556,1.0,0.0625,Specialized,L5
af778eb2-d12c-d953-7d7c-2e3bd5581cfe,10.555555555555555,1.0,0.0578947368421052,Balanced,L5
467c04e8-580c-cefa-8d51-f2eb42ab0844,4.111111111111111,1.0,0.0574324324324324,Universalist,L5
759ccd3b-a622-8d14-5656-86662013a1e6,4.555555555555555,1.0,0.0548780487804878,Balanced,L5
4fb06773-cc2e-e481-b629-3b8d30121b56,1.8888888888888888,1.0,0.0477941176470588,Specialized,L5
8865b8a4-9dcb-3eea-df73-37a0103694cc,2.2222222222222223,0.9090909090909092,0.046875,Focused,L5
96efd3b5-6e76-42b7-9475-efbb97bb0db0,2.4444444444444446,0.8181818181818182,0.0454545454545454,Diverse,L5
6d2de087-57b1-4058-92cf-09bff71b2d4f,1.3333333333333333,0.8181818181818182,0.0416666666666666,Diverse,L5
b27b76c8-10fc-b248-74f2-2b5fa332dfb3,0.2222222222222222,0.5454545454545454,0.03125,Balanced,L5
114b3acc-5f05-450f-af44-9d8f6687a2b3,0.2222222222222222,0.4545454545454545,0.03125,Focused,L5
5dc871cb-d33e-4742-bf3e-a31f7f3acb44,0.2222222222222222,0.7272727272727273,0.03125,Universalist,L5
38a2cfd8-31bf-64db-faca-486386e44406,6.0,1.0,0.03125,Focused,L5
f81d839d-bd43-6f40-db1d-cdeb5226d3bf,0.2222222222222222,0.4545454545454545,0.03125,Universalist,L5
75fea554-2985-a2f0-b825-a0e7ce7d9c86,9.333333333333334,1.0,0.0305059523809523,Balanced,L5
ae6e4fc3-394e-901c-573c-0ddce81c0a0f,6.888888888888889,1.0,0.0262096774193548,Balanced,L5
0cf68fbe-5671-5f17-5267-b4c1d8c399e0,3.0,1.0,0.0231481481481481,Specialized,L5
49f84adc-4685-4070-a2b1-070e0e2b9366,0.4444444444444444,0.8181818181818182,0.015625,Diverse,L5
6ee64393-caba-4b5c-ae46-62bb28119ad2,0.6666666666666666,0.8181818181818182,0.0104166666666666,Specialized,L5
8bb93100-dceb-4791-abe7-89829ea03805,0.8888888888888888,0.8181818181818182,0.0078125,Specialized,L5
0af07c10-75ba-f907-59a5-a0f6fbc2420d,1.0,0.8181818181818182,0.0069444444444444,Focused,L5
4e68917c-12c2-78c2-2249-33be34ba630f,1.6666666666666667,0.9090909090909092,0.0041666666666666,Focused,L5
6ea2baf5-90ab-183d-ffa0-48c92d99146f,5.333333333333333,1.0,0.0013020833333333,Focused,L5
