investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
19dde276-dbc0-477a-9476-f2ab5e3120a6,0.1666666666666666,1,0.2083333333333333,Balanced,L1
bc3db502-f465-4fca-ada9-c2e574085e52,0.1666666666666666,1,0.2083333333333333,Diverse,L1
26de25c4-2bd3-7dbf-c9c9-8ca014783ce0,0.1666666666666666,1,0.2083333333333333,Balanced,L1
9f0956f3-8a0c-4d93-aace-65f4ef54474f,2.0,5,0.2083333333333333,Universalist,L1
d7f63b50-ca5f-48c6-88aa-7ccd184e05da,0.1666666666666666,1,0.2083333333333333,Balanced,L1
c5b533c0-b6b4-41e8-bc7d-7fb4fb650da1,0.1666666666666666,1,0.2083333333333333,Balanced,L1
b3898343-7c45-2039-5c8e-51ea43e8d2da,0.1666666666666666,2,0.4166666666666666,Balanced,L1
4c04b49d-9ed6-4ec4-9bdc-8b8bd230a35e,0.9166666666666666,7,0.4545454545454546,Universalist,L1
3660b657-5885-dcf3-0b74-43df9483482e,0.9166666666666666,5,0.4545454545454546,Universalist,L1
d73cb521-e107-4b8a-826d-acfad65c5201,2.75,6,0.4545454545454546,Universalist,L1
708c61ea-ef18-4a99-aa12-4809d04363ce,1.75,5,0.4761904761904762,Universalist,L1
c1b551d4-0342-4bf1-b4bc-0b49834331d8,3.4166666666666665,11,0.4878048780487805,Universalist,L1
b9a6792a-c906-e090-3171-2a1ed2c2b663,0.8333333333333334,11,0.5,Universalist,L1
0ce6aefd-2eaf-54af-1e30-d5be34a05ecb,0.8333333333333334,11,0.5,Universalist,L1
8d24badb-9c87-42a6-8539-6e305a421c6d,0.8333333333333334,5,0.5,Universalist,L1
bcd0b911-4d14-8bba-c64d-dcc0d14d0448,0.8333333333333334,11,0.5,Universalist,L1
ff5d7573-bf2d-41ad-a669-999780af96e2,0.75,6,0.5555555555555556,Universalist,L1
b2604fa2-02b6-3510-753d-b7b38a4bb062,0.1666666666666666,5,0.625,Diverse,L1
d1781a5c-7f4e-4b9e-ac4e-c4674c3018b9,0.3333333333333333,2,0.625,Universalist,L1
a67fe1b3-f4e4-c5d3-a48b-903ca11e88f0,0.1666666666666666,3,0.625,Diverse,L1
025d9d33-736d-4775-b237-5ae4beac45d8,0.1666666666666666,5,0.625,Diverse,L1
cc79df9b-346a-0b7c-3b49-88f4b30c02da,0.5833333333333334,8,0.7142857142857143,Universalist,L1
e0784dcf-5e1c-42fc-ae31-bbb7a968b7fc,1.75,11,0.7142857142857143,Universalist,L1
656c9d8b-b846-476b-ab2a-e91004acd13c,1.0833333333333333,10,0.7692307692307693,Universalist,L1
a83dee39-e131-4e7e-a140-69dde702e647,0.25,6,0.8333333333333333,Diverse,L1
da0682dd-79ed-245c-67a2-f2c617588fc6,0.25,9,0.8333333333333333,Universalist,L1
5abf1d9b-6503-6e8b-4085-d30181240596,0.25,4,0.8333333333333333,Diverse,L1
46daadf8-9ab9-1f94-24e2-f83ad6d4ad7f,0.25,4,0.8333333333333333,Diverse,L1
951ed0f7-610b-483c-a5f9-f96ac6c1b5b2,0.25,4,0.8333333333333333,Diverse,L1
9dd4d3ee-8997-4a4c-bef2-7ea4f7527893,0.5,3,0.8333333333333333,Universalist,L1
e7a95473-4d2e-eea6-134d-82fa9d21e0d7,0.5,5,0.8333333333333333,Universalist,L1
c1aca383-9451-44ee-a19c-3e20e52f8d94,0.5,9,0.8333333333333333,Universalist,L1
1f8224c7-10bb-c9fe-29c2-76eeba61b556,0.9166666666666666,9,0.9090909090909092,Universalist,L1
29e14d01-3ed4-83e5-8c95-3b45048434f2,0.9166666666666666,9,0.9090909090909092,Universalist,L1
5538517d-2296-4374-b64a-8184c5afedc7,0.3333333333333333,6,0.9375,Universalist,L1
67f87ac5-2b90-ac4b-644a-6f73a2c4514f,0.3333333333333333,10,0.9375,Diverse,L1
74c797a3-aa37-4706-9084-fcd2a072b616,0.3333333333333333,3,0.9375,Diverse,L1
ac46ba18-1c1c-44dd-852c-cc51a519c023,1.75,10,0.9523809523809524,Universalist,L2
04e48b72-4daf-985b-4dad-bbc9a53de249,0.4166666666666667,11,1.0,Universalist,L2
e6bce44c-0129-4e44-9820-3d8e7ca84533,0.4166666666666667,3,1.0,Universalist,L2
b6adcc50-5c1f-4fd7-89aa-8806e1dc59ab,0.4166666666666667,7,1.0,Diverse,L2
48017db3-cc9f-40da-b0c5-055bdd6bb865,0.4166666666666667,5,1.0,Universalist,L2
2229b80d-fd4e-4ef4-8b56-d32615e7b55f,0.4166666666666667,6,1.0,Diverse,L2
994c5b6f-d8ea-479f-9afb-b4b9d02653d4,1.1666666666666667,9,1.0714285714285714,Universalist,L2
ac847d7d-9290-4e8d-a651-e02b6726dd51,0.25,2,1.111111111111111,Universalist,L2
5a6e0238-34b1-4601-b31c-a7b8d96ca938,1.0,9,1.25,Universalist,L2
c9f65fb9-f9a9-fff2-2c9b-ab9b70dd36da,0.6666666666666666,9,1.25,Universalist,L2
6c6ca409-cf0e-15b5-c18f-8aab29e60499,0.1666666666666666,5,1.25,Diverse,L2
ed746eec-54ff-19e1-690c-75216d0654c8,5.083333333333333,11,1.5573770491803278,Universalist,L2
f69687a2-5fba-4b10-a3d8-63bf662a809d,0.25,3,1.6666666666666663,Diverse,L2
16b2c850-9470-a7f5-8dcc-239bca28eea7,0.25,6,1.6666666666666663,Diverse,L2
8f263026-fbfe-4285-ac3d-213affd46796,0.5,3,1.6666666666666663,Universalist,L2
98518a89-27d8-cafb-a321-8fb6f3f3630c,0.5,11,1.6666666666666663,Universalist,L2
dc7fc343-2884-5489-8127-9e3ed9f88349,16.833333333333332,10,1.7326732673267329,Universalist,L2
d50627ab-78fe-4c23-9b00-903004bef932,0.3333333333333333,5,1.875,Diverse,L2
c0e891ee-5458-5746-1536-fe5569e1ddea,0.3333333333333333,3,1.875,Universalist,L2
4891539c-6ec8-47b9-a869-a59970bb1046,0.4166666666666667,8,2.0,Universalist,L2
f255b2c4-4390-44e7-988d-4e216702b8f5,0.5833333333333334,7,2.142857142857143,Universalist,L2
1bd15aa6-56ac-0d89-9405-7b7a4c8f76f0,30.166666666666668,11,2.18232044198895,Universalist,L2
f6b44cee-4bf4-6fbc-8010-8e63b1f89c31,4.5,8,2.2222222222222223,Universalist,L2
525f5579-1f87-cf70-ff5a-9de397f6fa5d,3.8333333333333335,11,2.391304347826087,Universalist,L2
15daf6ec-dd2e-4157-90df-3c8658563ee0,6.333333333333333,11,2.631578947368421,Universalist,L2
806cf9c9-eb39-4f6e-857c-14c805c3104b,0.3333333333333333,4,2.8125,Diverse,L2
457be71a-e4a4-4f4f-9fe6-f2d461964517,3.25,7,2.8205128205128203,Universalist,L3
ebd0b943-c6d4-4a7f-b50a-d321849fc44e,0.5833333333333334,8,2.857142857142857,Universalist,L3
ead45092-f6d8-f3dd-6105-06b885d662ea,9.75,11,3.0341880341880345,Universalist,L3
f25b94d2-ac5e-4d7b-93c9-d7759f2fd8c0,2.1666666666666665,11,3.6538461538461537,Universalist,L3
8f2d0d93-4ab9-41fc-84a9-4b07c33f6b30,1.9166666666666667,10,3.695652173913043,Universalist,L3
e8db05ed-6b48-9b54-e746-2f140dcc94be,2.5,11,3.8333333333333335,Universalist,L3
370d3275-1bcf-f30d-308a-8456bd328e94,1.8333333333333333,11,3.863636363636364,Universalist,L3
09a2ecb9-4632-0dbe-5099-ab130bdf54ac,3.5,10,4.285714285714286,Universalist,L3
18019029-7c3e-8476-c4f3-9216298db9e1,3.6666666666666665,11,4.318181818181818,Universalist,L3
13a3a322-4bff-4e21-a50c-1211c8dfbebf,2.1666666666666665,6,4.423076923076923,Universalist,L3
e3fece5c-a84a-5c69-5af1-9548d47c7954,5.083333333333333,11,4.672131147540984,Universalist,L3
1d6186de-295c-e6ba-e10c-b913102819eb,1.5,11,4.722222222222222,Universalist,L3
735a53c6-a7ba-2434-d97d-b788536da89d,9.25,11,5.7207207207207205,Universalist,L3
39e6ad18-504f-fde9-1eb0-f4825a9b24d2,6.333333333333333,11,5.855263157894736,Universalist,L3
cd730db2-a37f-0d5b-9b34-185edafe5017,1.4166666666666667,11,5.882352941176469,Universalist,L3
c2e75024-70cf-4275-b92e-e0b3daaf7113,1.25,10,6.333333333333334,Universalist,L3
9dda8c60-3517-927f-0c15-4807e7bd6054,3.25,9,7.179487179487179,Universalist,L3
5f6e6989-f389-3c0f-8424-684c1e1c3c8a,1.0833333333333333,11,7.3076923076923075,Universalist,L3
9bef796d-d4af-48bb-9c64-f6d506896b27,2.333333333333333,7,7.5,Universalist,L3
fb57ef39-906b-9dee-33cf-9e4911e395a0,0.9166666666666666,11,8.636363636363637,Universalist,L4
5455005d-4038-4b18-99b0-2fe4cd7a8460,0.9166666666666666,9,8.636363636363637,Universalist,L4
f3c4d672-6ae9-df8d-d87a-145b50947088,1.0,11,8.749999999999998,Universalist,L4
1d174a2a-9f23-2979-0b22-1853ee2421a3,1.75,11,9.76190476190476,Universalist,L4
5bc5257b-3576-e9f1-6d3d-4d17b4e14ecf,0.8333333333333334,9,10.0,Universalist,L4
b6d5a22d-ee9b-2225-b005-e24b29cc6811,0.75,10,10.555555555555555,Universalist,L4
b29163e3-ece5-45e9-a983-e29407ac961e,0.75,11,10.555555555555555,Universalist,L4
016b0657-b51d-10e9-567d-1ab83503c312,1.4166666666666667,9,10.588235294117643,Universalist,L4
c2faeab1-3e1a-4bfe-80e3-a1093c9dc351,0.1666666666666666,4,11.875,Focused,L4
b69419e2-81a6-6608-8331-f685d8341a6a,0.1666666666666666,8,11.875,Balanced,L4
6ec58479-617c-743b-fcff-79f0f9363c8b,0.5833333333333334,9,12.142857142857142,Universalist,L4
111c20bc-0812-4a4f-be02-b25a559c9978,1.1666666666666667,10,12.857142857142856,Universalist,L4
55325c87-19df-4a4d-a5ee-05220fdf8177,0.5833333333333334,9,13.571428571428571,Universalist,L5
63763ee1-46b9-477a-97a7-457c23a23565,0.5833333333333334,10,13.571428571428571,Universalist,L5
e787e611-2d8b-b3fe-15b7-6cd7b5fd9fe8,1.0833333333333333,11,13.846153846153843,Universalist,L5
e7f8df26-b68e-47ee-9751-4f2417340ac9,0.25,8,14.166666666666664,Universalist,L5
b388b7d0-c77f-52e4-6b93-e8f788b645a1,0.5,8,14.166666666666664,Universalist,L5
d31ce78e-e3f1-4e7b-8e9a-47d4c308efe7,0.25,6,15.83333333333333,Universalist,L5
91a29fe7-e6a2-46d7-b36a-d10df1abb4c4,0.5,4,16.666666666666664,Diverse,L5
1be3ba38-dac1-4ed4-b7a8-c371f4bca614,0.4166666666666667,10,17.0,Universalist,L5
