investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
00d3295a-366d-7601-6d8b-07823985e179,0.3333333333333333,0.7272727272727273,0.3333333333333333,Focused,L4
2a4dc13e-9440-d599-29d7-b6498ded852a,0.1111111111111111,0.6363636363636364,0.25,Universalist,L4
23a5b657-eda4-4d5a-a493-26f134becf56,0.1111111111111111,0.6363636363636364,0.25,Specialized,L4
5dbaa0d7-6f29-4dec-bf09-bedd19d02af1,0.1111111111111111,0.5454545454545454,0.25,Universalist,L4
9938d2df-a5c3-4559-b865-64f8fa8ab06f,0.1111111111111111,0.6363636363636364,0.25,Balanced,L4
c400b921-7dbd-b2ef-471d-fcd5b2ec7737,0.1111111111111111,0.5454545454545454,0.25,Universalist,L4
f3b067c5-501e-6b48-e834-0fa966f4e295,0.1111111111111111,0.5454545454545454,0.25,Universalist,L4
52d82a3a-932f-4f07-a6ca-fad5fca715e8,0.1111111111111111,0.6363636363636364,0.25,Specialized,L4
0b8d669b-c601-4c9b-a7c7-214293479f46,0.7777777777777778,0.9090909090909092,0.2321428571428571,Specialized,L4
8ec2d665-155b-441c-b57f-36740e408db9,0.2222222222222222,0.6363636363636364,0.125,Specialized,L5
f3a17005-752e-4140-87ac-c2a8c027a997,0.8888888888888888,0.6363636363636364,0.109375,Balanced,L5
1e26a004-016c-282a-0b8a-84a83082bf2d,0.3333333333333333,0.9090909090909092,0.0833333333333333,Universalist,L5
8b52e412-7d11-4b4d-ae49-3811f29fb05e,1.4444444444444444,0.5454545454545454,0.0721153846153846,Balanced,L5
ebc12d65-0724-46e4-a558-5dc878cc2403,1.2222222222222223,1.0,0.0681818181818181,Focused,L5
bd5b0e45-c83c-4941-a808-6cdf033bf7ba,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
6cfc00db-87cf-45a2-8496-c422488e5917,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
7a08e920-7f87-4815-a684-e39f5c7c6c33,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
f7f36c15-86a1-c814-6c4c-25f2a69cd271,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
38578c2e-f25c-4f26-85c2-8f11afc9c373,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
1cdf13d5-f623-4d16-828b-15e7a8861c71,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
ef40955d-1159-495c-a831-c203898106bd,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
5f1b08ef-7e1e-587d-f25d-dadf24ce4bf6,0.1111111111111111,0.3636363636363636,0.0625,Diverse,L5
