investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
9d11d829-645f-4ebe-bbd1-e84d1a0ddaf0,28.25,11,0.0884955752212389,Universalist,L1
d42d22d2-d1a5-fc74-0e46-dc4184ccc0d3,4.833333333333333,10,0.1724137931034483,Universalist,L1
79d6285c-324b-1c87-fbf8-2ccd0088a0ed,1.25,11,0.3333333333333333,Universalist,L1
3d879a1f-8e34-4c64-97e8-2bab4364e3fb,1.1666666666666667,10,0.3571428571428571,Universalist,L1
9d69665f-26be-476e-b82c-fda1841bf60c,2.333333333333333,11,0.3571428571428571,Universalist,L1
702bc3b4-3f7c-42ea-a4ed-5bef74dfc291,0.9166666666666666,8,0.4545454545454546,Universalist,L1
35f984cd-b215-ad75-b307-14b2f30b7ba3,1.75,11,0.4761904761904762,Universalist,L1
98676230-648d-24a7-09ed-5ba1cd2753b3,1.4166666666666667,9,0.5882352941176471,Universalist,L1
a79e06a5-f618-ac8a-49b2-367a4a4437c0,0.1666666666666666,11,0.625,Diverse,L1
998ba4cd-308f-4382-bad1-550f0c7b36e7,1.8333333333333333,8,0.6818181818181819,Universalist,L1
39d8e145-b43e-41d8-83b5-5ee1df998e1e,0.5833333333333334,9,0.7142857142857143,Universalist,L1
31d533f0-f982-33d6-62b6-3ee2b9257d30,1.0,7,0.8333333333333333,Universalist,L1
3ddb1d6a-c61c-781e-0c8c-9bce040275c0,0.5,11,0.8333333333333333,Universalist,L1
3f3dd102-9983-2396-0639-8f08017aa6fb,0.5,9,0.8333333333333333,Universalist,L1
6dfc058f-52e0-702f-d6ae-b4b5d8e18352,1.0,11,0.8333333333333333,Universalist,L1
b2823bf1-ffb7-4f8b-83a7-e35cfc90fa17,1.9166666666666667,10,0.8695652173913043,Universalist,L1
4e9cd3ef-0ef1-73e3-737e-68ad15705779,0.3333333333333333,5,0.9375,Diverse,L1
532e38f3-2c90-11c1-1d82-3c75e64c893c,8.166666666666666,10,0.9693877551020408,Universalist,L2
28e8208f-8696-417b-bc40-2e573e1ea3e8,0.4166666666666667,6,1.0,Universalist,L2
022890a5-4a08-809f-1a19-67801dad03d5,0.4166666666666667,9,1.0,Balanced,L2
63585955-fcb2-4d52-88ce-abdda3a232de,0.4166666666666667,5,1.0,Diverse,L2
1e3080e1-5758-0b42-99bc-9695fb0e2371,1.5833333333333333,11,1.0526315789473684,Universalist,L2
3460112e-f4ea-36ae-2990-3d31833df448,0.75,7,1.1111111111111112,Diverse,L2
eaf1dde3-f022-43c1-a7d3-719b35685a3a,0.75,10,1.1111111111111112,Diverse,L2
be8d2b0c-6961-dd57-2034-6196c7125c5a,0.75,6,1.1111111111111112,Universalist,L2
d07de277-455b-45f2-8c2d-95d9f2ed3f0b,1.6666666666666667,7,1.25,Universalist,L2
505f155e-7eb2-489b-83c6-72b5e20469ab,0.6666666666666666,7,1.25,Universalist,L2
01e00179-026f-0725-2530-fb93e449587d,5.5,11,1.2878787878787878,Universalist,L2
36409f11-4a22-2564-2708-5834206cf98c,5.916666666666667,9,1.3380281690140847,Universalist,L2
0340691b-763e-da02-6e39-a3d85ceec766,5.25,10,1.349206349206349,Universalist,L2
d6691d1d-bab1-ba4b-7b3d-427972f2444c,0.5833333333333334,9,1.4285714285714286,Universalist,L2
2901bd6e-4ac4-7228-3fd8-7ad60635ec1c,0.25,4,1.6666666666666663,Diverse,L2
de6d16df-2694-7edd-8723-d85ec86dad23,0.5,7,1.6666666666666663,Universalist,L2
