investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
356bd44c-09ca-54fb-9a0f-f30167968a6f,2.9166666666666665,9,0.1428571428571428,Universalist,L1
5ab0b475-7d0b-0dba-f640-4e6ddae15101,4.416666666666667,10,0.1886792452830188,Universalist,L1
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,7.5,11,0.2777777777777778,Universalist,L1
c7ca7ab1-a82f-9736-8140-c53ba04b034c,4.333333333333333,11,0.2884615384615385,Universalist,L1
620fbfec-73c7-45b0-be69-ca8c40a5554f,1.25,6,0.3333333333333333,Universalist,L1
72da3abc-2733-8a93-9f91-d8f684b09b0f,0.8333333333333334,3,0.5,Universalist,L1
742de283-aebc-9611-7ed1-10deac141a0c,1.6666666666666667,11,0.5,Universalist,L1
e475d948-4f65-4efa-b8a1-a3ca79684e9c,0.5,2,0.5555555555555555,Diverse,L1
4373a41c-f984-ce42-3a0a-68e41362d1da,0.6666666666666666,7,0.625,Universalist,L1
f1a0e0a1-56b4-4fa9-a91d-5781ecf74ef7,1.1666666666666667,10,0.7142857142857143,Universalist,L1
b8d4ddc5-9011-0bf5-0908-c5930cfef0f8,0.4166666666666667,8,1.0,Universalist,L2
a78b1345-702e-aad3-3b0c-f8dad561639e,7.083333333333333,11,1.0,Universalist,L2
03ca85f8-a2ec-defa-72c8-e61309c76741,0.5833333333333334,5,1.4285714285714286,Diverse,L2
df662812-7f97-0b43-9d3e-12f64f504fbb,0.5,6,1.6666666666666663,Universalist,L2
704baa25-5337-ecb0-71f7-f28c18ad3faa,11.833333333333334,11,2.535211267605634,Universalist,L2
66b98ab3-da64-5fea-ef0b-d2ab35f33b33,5.583333333333333,11,2.537313432835821,Universalist,L2
89b1b850-9b8e-cd52-1430-551dc97e5f56,2.4166666666666665,10,2.931034482758621,Universalist,L3
5a519775-0598-4a4a-8f89-1d42814a8623,2.25,11,3.148148148148148,Universalist,L3
0cf8b1f2-eb34-c205-6eea-d72d2a33ebff,4.166666666666667,11,3.4,Universalist,L3
ad9db9e9-9c2e-86a8-2b5c-deea1011fdd5,4.333333333333333,11,3.4615384615384617,Universalist,L3
8c1dc358-7cff-5e7a-fc1a-407dd5fb795f,2.0,9,3.541666666666666,Universalist,L3
5d98f331-124f-1cc2-e3c9-001a6fe2fbf1,2.4166666666666665,10,3.6206896551724137,Universalist,L3
da23eb72-ea19-faae-fdc7-9cbf82117737,3.6666666666666665,11,3.863636363636364,Universalist,L3
dd9f72c4-de29-566c-d63f-f23f1726ffe4,3.583333333333333,11,3.953488372093023,Universalist,L3
1c31be1a-443a-a99b-81ec-c03e4b252e9a,1.9166666666666667,11,4.130434782608695,Universalist,L3
d6198850-324e-4374-87fb-0c0cf9505c73,3.333333333333333,7,5.0,Universalist,L3
1a410398-3a72-5882-99b8-6318cf594850,1.4166666666666667,9,5.294117647058823,Universalist,L3
a9bb5837-4190-2f46-6740-c673f233b911,1.3333333333333333,11,5.3125,Universalist,L3
3a476a62-d930-8aab-041d-cfe5e45a679a,1.5833333333333333,11,5.526315789473683,Universalist,L3
a4035d07-eee1-bde0-7d16-e3a9b39b457f,2.6666666666666665,10,5.625,Universalist,L3
9407e131-609e-9e4b-cadb-0632683a0f49,1.1666666666666667,11,6.071428571428571,Universalist,L3
3b2c6043-142e-453c-8087-cb94ae0ddd53,4.083333333333333,11,6.938775510204081,Universalist,L3
e6a6f185-346f-d7a2-81f2-63706e1a42bd,0.9166666666666666,10,7.727272727272727,Universalist,L3
1787528e-7bd3-a500-ba86-ac55205e7e21,6.416666666666667,11,8.311688311688313,Universalist,L4
c6cc1056-c1f7-f512-fdfb-1ef723fb52b6,1.6666666666666667,11,8.5,Universalist,L4
86081881-a2f7-2d6e-b205-6168481e2cf4,0.9166666666666666,11,8.636363636363637,Universalist,L4
c8e0c690-e891-4115-bb57-5652199c8aeb,4.916666666666667,11,8.983050847457626,Universalist,L4
a7a11adb-7c64-c4f6-d1e5-ceafe085f016,0.75,11,9.444444444444445,Universalist,L4
2907e34e-15b2-ec8f-9815-f9f0b70e7235,2.833333333333333,11,9.999999999999998,Universalist,L4
4d5b01b8-0220-ec78-6e76-319765a744ef,0.1666666666666666,9,10.625,Diverse,L4
93a88215-2c10-697e-6cf6-21996cc32d85,0.1666666666666666,11,10.625,Diverse,L4
68632c07-2596-4aec-a694-1b0fc949ae3a,0.1666666666666666,9,10.625,Balanced,L4
05e2b5f2-bd1d-9e2c-2c3e-d22ea6e35dc6,0.1666666666666666,11,10.625,Balanced,L4
4710cdd6-d892-39ad-c10a-fe217e5cb7ca,0.6666666666666666,11,10.625,Universalist,L4
52652f4d-581e-4ad5-9d06-b1b250a333cd,0.6666666666666666,8,13.75,Universalist,L5
adf7ca97-cd36-2518-accb-d896216b12b6,1.0,11,14.166666666666664,Universalist,L5
520f4d54-ff6a-70bc-3484-9785310dbc54,0.8333333333333334,11,17.0,Universalist,L5
e383af22-89a1-07e5-a256-91de31854750,0.4166666666666667,9,17.0,Universalist,L5
bbdd5601-9fb3-e08a-a4f0-8acfedacb6d8,0.4166666666666667,7,17.0,Universalist,L5
b7b6bf66-95a5-f779-6e45-2e0e04fbe1a4,0.4166666666666667,10,18.0,Universalist,L5
1a57bea0-e61f-29aa-3ca6-98c327d4883b,0.75,11,18.88888888888889,Universalist,L5
8930a5dc-c50d-2ab7-1a7a-3fcb7ff1825f,0.5,11,28.33333333333333,Universalist,L5
