investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
5941d68d-3ba5-fcc7-57bb-bd4ccacf02a3,10.25,9,0.0813008130081301,Universalist,L1
a798a04e-9108-422b-a681-ea929969e6e2,9.416666666666666,11,0.0884955752212389,Universalist,L1
fcd0c596-99b3-f0ea-588e-cdbb3c82cb88,8.833333333333334,11,0.0943396226415094,Universalist,L1
dcdaae03-9e16-48ab-85d7-ed7ef9a0f11e,7.916666666666667,11,0.1052631578947368,Universalist,L1
7d116151-ecad-54d2-23cd-0d388ae298df,7.083333333333333,11,0.1176470588235294,Universalist,L1
15c99be6-9337-4658-bc3c-f7a775ab2323,5.0,11,0.1666666666666666,Universalist,L1
d42d22d2-d1a5-fc74-0e46-dc4184ccc0d3,4.833333333333333,10,0.1724137931034483,Universalist,L1
4b1a8ab9-f146-9e29-3be9-45fe8da6d0ac,4.75,11,0.175438596491228,Universalist,L1
1d6777b4-e683-41f8-b082-60722d6cc8f7,2.0,10,0.2083333333333333,Universalist,L1
f8855de1-7173-4510-af6c-a787d727155d,1.8333333333333333,9,0.2272727272727273,Universalist,L1
2549059c-27dd-4ea1-832e-f965215d9747,3.5,8,0.2380952380952381,Universalist,L1
2d86b0fe-8e61-7ce4-caf6-23a3d71c209e,1.75,9,0.2380952380952381,Universalist,L1
08db05c2-e8e0-4f2b-97c0-1bce04edb5ac,3.25,9,0.2564102564102564,Universalist,L1
f187a10f-cf31-4aa9-8cb1-1ee018e8f96f,4.25,8,0.2941176470588235,Universalist,L1
28c008f0-1f8c-245d-1af0-cf78696267c3,2.833333333333333,10,0.2941176470588235,Universalist,L1
15cb4822-813f-48dd-d89f-aab0574facdb,1.3333333333333333,10,0.3125,Universalist,L1
79d6285c-324b-1c87-fbf8-2ccd0088a0ed,1.25,11,0.3333333333333333,Universalist,L1
60d53989-5a9f-472d-acd2-2eb5343dd8d2,1.25,7,0.3333333333333333,Universalist,L1
2d296802-0ac2-3ee5-5d07-4e9383655a72,20.75,11,0.3413654618473895,Universalist,L1
41979f00-cf5b-34ab-dc95-7dacc7be5f61,2.4166666666666665,11,0.3448275862068966,Universalist,L1
3d879a1f-8e34-4c64-97e8-2bab4364e3fb,1.1666666666666667,10,0.3571428571428571,Universalist,L1
d462f295-ccea-63d9-6048-fdea0f4e2d5e,2.25,11,0.3703703703703703,Universalist,L1
3bad5e9a-ab7b-c4cc-fe69-ec6818e66562,2.25,10,0.3703703703703703,Universalist,L1
f6ee3f69-33cb-0695-157d-1bc894ac42d3,2.1666666666666665,11,0.3846153846153846,Universalist,L1
017187de-b17f-40bc-8251-57ce3268c2dc,2.1666666666666665,11,0.3846153846153846,Universalist,L1
e14920f4-9c27-422b-a6e6-f541041f94ca,2.1666666666666665,9,0.3846153846153846,Universalist,L1
b4386e5f-53a6-fc77-ebd4-b6e0bef0aaef,20.416666666666668,11,0.3877551020408162,Universalist,L1
b41089ca-8424-ce26-4a77-d0d66606efc8,4.25,10,0.392156862745098,Universalist,L1
dec4c206-028d-495e-d26d-33f942debd60,22.08333333333333,11,0.3962264150943396,Universalist,L1
3399318d-7d35-40b2-8500-be21b7fad4f3,2.083333333333333,9,0.4,Universalist,L1
c43cb131-d320-497c-b5ba-a45ef2c852bf,2.083333333333333,10,0.4,Universalist,L1
7973723f-bae9-4ad2-bbab-58ab2e1f8935,1.0,6,0.4166666666666666,Universalist,L1
4c04b49d-9ed6-4ec4-9bdc-8b8bd230a35e,0.9166666666666666,7,0.4545454545454546,Universalist,L1
0db25f59-2478-4ec8-8f9a-68d5db3b4770,1.75,7,0.4761904761904762,Universalist,L1
e7b13eca-16cb-0cda-3157-89921b88d069,0.8333333333333334,10,0.5,Universalist,L1
0ce6aefd-2eaf-54af-1e30-d5be34a05ecb,0.8333333333333334,11,0.5,Universalist,L1
8d24badb-9c87-42a6-8539-6e305a421c6d,0.8333333333333334,5,0.5,Universalist,L1
87a560d8-1e4a-b8e0-3d65-0a01c461ef06,5.0,10,0.5,Universalist,L1
de89599a-cf1a-4a72-b2bb-a8efbdac5343,17.916666666666668,11,0.5116279069767441,Universalist,L1
0767b812-3d7a-83e6-7a05-182c0f6bb248,1.5833333333333333,11,0.5263157894736842,Universalist,L1
f2ebc67f-0639-c250-d641-b2d84b484cc4,1.5833333333333333,11,0.5263157894736842,Universalist,L1
00daca16-8311-454b-84e0-24a40d16be9c,15.833333333333334,10,0.5526315789473684,Universalist,L1
70de1388-0fd1-4dae-92ad-6a67520f8409,0.25,2,0.5555555555555555,Universalist,L1
eb16afb7-a530-481f-982c-a14fc9ed71bc,0.25,2,0.5555555555555555,Diverse,L1
3718597a-dd39-6661-3630-09cdd43bcac2,199.16666666666663,11,0.5732217573221756,Universalist,L1
98676230-648d-24a7-09ed-5ba1cd2753b3,1.4166666666666667,9,0.5882352941176471,Universalist,L1
acf95fc6-5607-bcc1-6de4-eeafc90bb596,1.4166666666666667,10,0.5882352941176471,Universalist,L1
d19e48f3-d056-43bc-b829-f2feda5e4236,0.1666666666666666,4,0.625,Balanced,L1
f7b40c01-3e05-455b-93f8-66bc3b50c34b,0.1666666666666666,5,0.625,Focused,L1
d655f87a-4135-d73e-8525-85cbcd602c94,0.1666666666666666,3,0.625,Diverse,L1
a51bcde4-4be9-eadf-0f18-af534e13a780,0.1666666666666666,4,0.625,Balanced,L1
d1781a5c-7f4e-4b9e-ac4e-c4674c3018b9,0.3333333333333333,2,0.625,Universalist,L1
85f8815d-5322-48d0-8dce-08f4beb349dd,0.1666666666666666,3,0.625,Focused,L1
a67fe1b3-f4e4-c5d3-a48b-903ca11e88f0,0.1666666666666666,3,0.625,Diverse,L1
f853f36d-c220-4f5b-8f18-3afaeff5dcd6,0.6666666666666666,4,0.625,Universalist,L1
089e2f4e-5b16-b5ef-8834-3a40302de5ac,26.75,11,0.6386292834890965,Universalist,L1
a93256dc-c256-4c16-93ef-318efb76ef65,2.583333333333333,10,0.6451612903225806,Universalist,L1
f9fcdea9-955f-9a66-275c-601e1ed63243,1.25,11,0.6666666666666667,Universalist,L1
e0784dcf-5e1c-42fc-ae31-bbb7a968b7fc,1.75,11,0.7142857142857143,Universalist,L1
f1a0e0a1-56b4-4fa9-a91d-5781ecf74ef7,1.1666666666666667,10,0.7142857142857143,Universalist,L1
459b0b0d-eae2-e063-6f65-69e85c913348,9.583333333333334,11,0.7391304347826086,Universalist,L1
fb1c3f34-0c0c-45cc-b622-3b5d8bddc80e,1.0833333333333333,9,0.7692307692307693,Universalist,L1
39ab0b81-f6f2-41c1-9259-3c2ca5e2612e,1.0833333333333333,7,0.7692307692307693,Universalist,L1
754d8bc2-837e-c59a-3552-70f150b5858a,9.0,11,0.787037037037037,Universalist,L1
3bfb69a8-61b6-ec30-1512-73bd1ca35bc5,44.75,11,0.7914338919925512,Universalist,L1
e03b47e0-f25f-1e36-1314-bd65b6d16ee4,8.833333333333334,11,0.8018867924528302,Universalist,L1
a83dee39-e131-4e7e-a140-69dde702e647,0.25,6,0.8333333333333333,Diverse,L1
49c1b235-6fc0-f9a1-4671-40024c7148ff,0.25,8,0.8333333333333333,Diverse,L1
a4a30661-4a7c-1ca7-25d1-3e3030de68c2,0.25,3,0.8333333333333333,Diverse,L1
3f6b701f-0afc-4700-b797-a0a287b9a12c,0.25,4,0.8333333333333333,Diverse,L1
3a056b49-d434-4c67-a5aa-f80103b356c8,1.0,7,0.8333333333333333,Universalist,L1
9dd4d3ee-8997-4a4c-bef2-7ea4f7527893,0.5,3,0.8333333333333333,Universalist,L1
