investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
60d53989-5a9f-472d-acd2-2eb5343dd8d2,1.25,7,0.3333333333333333,Universalist,L1
f8dbe1b6-67a7-ee68-d1a8-4f0a3c14eb63,3.333333333333333,8,0.375,Universalist,L1
9756be85-8272-4efa-8e0c-c07ea49827e8,0.75,9,0.5555555555555556,Universalist,L1
58fc4f87-a084-4d1f-896a-eaeb5cb61035,2.5,8,0.6666666666666667,Universalist,L1
3f6b701f-0afc-4700-b797-a0a287b9a12c,0.25,4,0.8333333333333333,Diverse,L1
bbb6d64f-e92b-4a6f-9c50-6d01a3a4b000,0.3333333333333333,11,0.9375,Universalist,L1
e9c76e80-2ba0-4d84-a7b8-d0c20e856192,0.8333333333333334,4,1.0,Universalist,L2
0b5db80a-5724-90f2-3201-db2581c75403,0.1666666666666666,10,1.25,Specialist,L2
9ea84e60-9325-4000-ae52-3aaa34233951,0.1666666666666666,4,1.25,Diverse,L2
dcd7ef59-6123-3601-cc7f-3051dfbe018c,0.6666666666666666,7,1.25,Universalist,L2
e075716b-45b5-1d18-cf7a-48874b62ef23,0.6666666666666666,8,1.25,Universalist,L2
313585a6-d860-8f2d-e6d0-f3dda5dc1be9,10.0,11,1.4166666666666667,Universalist,L2
b77dec60-40b6-6ae7-68d6-8286a75e8dfd,6.25,9,1.5333333333333337,Universalist,L2
6bdcaf25-865a-d1e1-90f7-330b99a4ee36,0.25,4,1.6666666666666663,Diverse,L2
7719be44-6380-4cf1-87ae-effd341b83e0,0.5,9,1.6666666666666663,Universalist,L2
cabd3ad0-0900-42e2-8d52-03acd2d7e7ba,0.3333333333333333,5,1.875,Diverse,L2
fb35431d-b692-499d-8df7-33fa83a5f5c4,0.5,5,2.5,Universalist,L2
0cf68fbe-5671-5f17-5267-b4c1d8c399e0,2.25,11,3.148148148148148,Universalist,L3
38a2cfd8-31bf-64db-faca-486386e44406,4.75,11,3.1578947368421053,Universalist,L3
d41a176d-2d63-8120-abdd-09962ffac419,3.1666666666666665,8,3.947368421052632,Universalist,L3
af778eb2-d12c-d953-7d7c-2e3bd5581cfe,8.916666666666666,11,4.158878504672897,Universalist,L3
e8a9c68d-afa5-9a4f-ed7f-8d7a791ae3d4,1.6666666666666667,10,4.75,Universalist,L3
88c91680-f432-9709-d99a-a1c23403be8c,1.6666666666666667,10,4.75,Universalist,L3
4fb06773-cc2e-e481-b629-3b8d30121b56,1.4166666666666667,11,4.999999999999999,Universalist,L3
d1fe2d6b-6051-027c-e4e2-586e93ac6b4a,4.166666666666667,11,5.4,Universalist,L3
ebae6782-7040-b515-9c89-36fb0a31e113,8.166666666666666,11,5.408163265306122,Universalist,L3
467c04e8-580c-cefa-8d51-f2eb42ab0844,3.1666666666666665,11,6.973684210526316,Universalist,L3
3e2502aa-2441-4750-809d-e32e33eb9b0c,1.0,11,7.083333333333332,Universalist,L3
49315da3-4c66-f9ee-6070-37072a99f21a,0.8333333333333334,11,8.5,Universalist,L4
14d2cba2-8e38-2a1a-1edb-0c9933e914f6,0.1666666666666666,10,10.625,Diverse,L4
be0b97a1-9293-b526-df88-a80d2b255145,0.1666666666666666,11,10.625,Diverse,L4
c6a1227a-7872-3087-3c03-459ea95f977a,0.6666666666666666,10,10.625,Universalist,L4
89518cc4-af9b-44a1-97c0-a0ee3f183d9b,0.1666666666666666,9,10.625,Universalist,L4
242fa850-baba-927c-d9ca-4909453684b8,0.1666666666666666,9,10.625,Diverse,L4
46a7d7b9-83db-ab29-171d-8fcc1c926091,0.25,9,14.166666666666664,Diverse,L5
2e036d33-1480-eb02-5b86-aa1a6b9090fc,0.5,11,14.166666666666664,Diverse,L5
3d725c9b-7010-3627-bb2b-ccad5f8fc76a,0.3333333333333333,9,15.9375,Diverse,L5
114dc1cd-6c07-c366-7c0a-a173bd5f5749,0.3333333333333333,11,15.9375,Universalist,L5
d6fefef6-c8c5-41ca-b88a-7d023a350d76,0.3333333333333333,6,15.9375,Universalist,L5
212a748c-c804-42b1-9571-534d15dbda04,0.5,8,17.499999999999996,Diverse,L5
acef400e-2ba6-6098-1fc5-99713108881b,0.5,11,44.16666666666666,Universalist,L5
