investor_uuid,annualised_investments,investing_experience,outlier_score,focus_classification,outlier_bucket
f0f0695c-2ea1-be8f-aa87-4ef5fbe5752c,3.0,11,0.2777777777777778,Universalist,L1
f2b4c751-70ad-30c0-f6ba-d09278e0f17c,2.083333333333333,6,0.4,Universalist,L1
95163811-0c2c-bb59-1086-f847eb8b9991,1.8333333333333333,11,0.4545454545454546,Universalist,L1
aee8c4bd-1dd4-4595-9bbb-328fd37ba6e5,2.583333333333333,6,0.4838709677419355,Universalist,L1
eef64fe6-56b0-4ed1-89a5-e09208c81305,1.75,7,0.7142857142857143,Universalist,L1
e03b47e0-f25f-1e36-1314-bd65b6d16ee4,8.833333333333334,11,0.8018867924528302,Universalist,L1
9a86106b-5e5b-d9b2-86b6-368c28360a5b,1.0,11,0.8333333333333333,Universalist,L1
90a3e6a8-f8bf-0091-f4ce-e244bd507d6a,1.0,10,0.8333333333333333,Universalist,L1
da6aeb69-9f55-4d49-9da4-f15705bf2f14,0.1666666666666666,11,1.25,Universalist,L2
68f74e2a-67af-49c3-91c0-85d9ace57767,0.1666666666666666,4,1.25,Diverse,L2
1c2279a7-1a69-4027-8569-4f99819a060f,1.0,7,1.25,Universalist,L2
c5f4d5e7-3b66-66b4-e2eb-88bf2c338b2e,0.6666666666666666,5,1.25,Universalist,L2
af5a73b9-09d0-838c-5167-7886eedfa714,1.5,10,1.3888888888888888,Universalist,L2
cff06a98-5cd2-4486-85f0-0ae37d69c9b5,0.5,4,1.6666666666666663,Universalist,L2
e994b047-3d0c-4e9e-9169-67900d34985b,0.5,3,1.6666666666666663,Universalist,L2
6de6be2f-97e6-e08e-4a7d-df1457a306d4,0.25,11,1.6666666666666663,Diverse,L2
ad17571b-e808-0f51-3e57-da2e4bb443a5,0.75,10,1.6666666666666667,Universalist,L2
5e247565-fccd-61d0-98eb-cdc03cf1342e,0.3333333333333333,7,1.875,Diverse,L2
628e986e-32b4-6b64-d0db-05b75e984930,0.3333333333333333,3,1.875,Universalist,L2
7191366c-50ab-37f8-89c2-0068f7bf637e,8.25,11,1.9191919191919191,Universalist,L2
f1f4a59a-c901-7819-10e1-65f8e03b95d9,3.6666666666666665,11,1.9318181818181817,Universalist,L2
3af6482d-81c9-b834-8d1b-345d9a19b855,3.083333333333333,10,2.297297297297297,Universalist,L2
669ce484-85e7-1537-e2e0-14e4b2bab22c,6.916666666666667,11,3.0722891566265056,Universalist,L3
dc0dd14a-8176-31b4-eaed-e78d724885b5,10.666666666666666,11,3.3984375,Universalist,L3
38583ba7-b82b-450c-bb9c-7ec52f55d693,1.8333333333333333,10,3.863636363636364,Universalist,L3
808d646f-88e5-49e3-9c40-24b620f500ee,1.8333333333333333,11,3.863636363636364,Universalist,L3
036859ec-45a0-136d-c7ae-205a6d541a69,3.5,11,4.047619047619048,Universalist,L3
5dd2e0d7-9de9-0d42-33a3-430596a08948,3.0,10,4.861111111111112,Universalist,L3
53d57886-a4fb-374d-e704-92e8f48b3953,1.4166666666666667,11,4.999999999999999,Universalist,L3
268a0a30-7d13-4d04-bf89-a9ae0a775863,1.4166666666666667,11,4.999999999999999,Universalist,L3
69b5e8ec-6ce9-bf6a-6f77-0c6ae0e6fee7,1.3333333333333333,10,5.3125,Universalist,L3
b153bd8c-99b7-bb8d-5723-7d1dc3dad0a3,1.25,10,5.666666666666667,Universalist,L3
5c26c58f-6d80-43e8-8022-24c2d769af0a,1.25,11,5.666666666666667,Universalist,L3
34c1ddec-c868-a7fc-81a5-493545194d05,1.3333333333333333,11,5.9375,Universalist,L3
c631111a-6bbd-c92b-c567-0ef2abc512d3,8.5,11,7.009803921568626,Universalist,L3
b8693d19-16c4-41ef-9ca4-fd512ae09125,0.9166666666666666,11,7.727272727272727,Universalist,L3
8cfd9bff-d1ea-4d46-ba79-430ff8af347e,1.5833333333333333,11,8.94736842105263,Universalist,L4
a270190c-b2bc-b9ba-b3f9-4877717c83df,1.5833333333333333,10,8.94736842105263,Universalist,L4
2f224c97-0191-45ee-8e3b-e75ddfa437f4,1.6666666666666667,8,9.0,Universalist,L4
5a93c860-7fc4-2a6d-c206-76898dee98c5,0.1666666666666666,7,10.625,Diverse,L4
85319c86-f5f7-02ee-3a57-c358cfa5b98c,0.6666666666666666,10,10.625,Universalist,L4
2f14add7-c82e-445e-b310-62f1317d07fb,0.1666666666666666,11,10.625,Focused,L4
2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,0.5833333333333334,10,12.142857142857142,Universalist,L4
66e89ab4-e7f6-6d5a-f81f-e5e8ff81af98,0.5833333333333334,11,12.142857142857142,Universalist,L4
62ab53b0-3a28-0cb7-9995-fd3215b78e41,0.25,11,14.166666666666664,Universalist,L5
7b10e409-6b31-b6d2-16c6-27a5ef2e829a,0.25,10,14.166666666666664,Diverse,L5
58602c6b-2130-010f-5a8e-3ca20d26bede,1.0,10,14.166666666666664,Universalist,L5
db18732a-39b9-4ddc-8b8d-e69f91203e4b,0.3333333333333333,11,15.9375,Diverse,L5
eff7f22d-5dd3-4d3e-863b-205e8f373fe7,0.3333333333333333,7,15.9375,Diverse,L5
