investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
d1acae48-6164-46e5-961d-2a0f4d044e0b,0.1111111111111111,0.6363636363636364,0.875,Focused,L1
d3a4becd-9851-4fe4-bcbe-577149cc50fb,0.1111111111111111,0.6363636363636364,0.875,Focused,L1
21800c8e-d1cb-4cd5-b952-f2704032da27,0.1111111111111111,0.6363636363636364,0.875,Focused,L1
c4eb3551-2eba-8eac-d866-bcfaf66064af,0.1111111111111111,0.6363636363636364,0.875,Focused,L1
e8903d1c-31fc-b5d7-59d6-e0b90a56e9e1,0.2222222222222222,1.0,0.4375,Balanced,L3
5a93c860-7fc4-2a6d-c206-76898dee98c5,0.2222222222222222,0.6363636363636364,0.4375,Balanced,L3
f496b33a-6702-4484-8935-ad620443a1c3,0.1111111111111111,0.4545454545454545,0.3125,Specialized,L4
2f14add7-c82e-445e-b310-62f1317d07fb,0.2222222222222222,1.0,0.3125,Universalist,L4
7b10e409-6b31-b6d2-16c6-27a5ef2e829a,0.3333333333333333,0.9090909090909092,0.2916666666666666,Focused,L4
62ab53b0-3a28-0cb7-9995-fd3215b78e41,0.3333333333333333,1.0,0.2916666666666666,Specialized,L4
581df938-5e48-b5ca-b8d0-5446390d3391,0.2222222222222222,0.6363636363636364,0.28125,Diverse,L4
0eac4c34-5503-45ea-aa0c-daa58024b7b5,0.1111111111111111,0.5454545454545454,0.25,Focused,L4
56def6d2-7586-489c-9e72-3f45d8b66387,0.1111111111111111,0.6363636363636364,0.25,Balanced,L4
5d277919-17cd-fc91-055a-8f0322580b2b,0.2222222222222222,0.6363636363636364,0.25,Focused,L4
161dda9a-8c22-420c-a455-47b431399018,0.1111111111111111,0.6363636363636364,0.25,Balanced,L4
bee56458-d955-9ce8-9d57-905ad8459138,0.1111111111111111,0.6363636363636364,0.25,Specialized,L4
a1f89fcb-f0fc-41a6-808c-a337b2c66372,0.1111111111111111,0.6363636363636364,0.25,Balanced,L4
08651277-0399-4294-a808-3a6c6dbf08a6,0.4444444444444444,1.0,0.234375,Focused,L4
eff7f22d-5dd3-4d3e-863b-205e8f373fe7,0.4444444444444444,0.6363636363636364,0.234375,Balanced,L4
db18732a-39b9-4ddc-8b8d-e69f91203e4b,0.3333333333333333,1.0,0.2083333333333333,Balanced,L4
2d6fd5b9-7c9a-4b4e-9d26-006666cd6a48,0.5555555555555556,0.9090909090909092,0.175,Specialized,L5
18128788-92b7-4d75-9ef8-6c4f172617bb,0.2222222222222222,0.6363636363636364,0.15625,Diverse,L5
820380ce-f62d-475b-96f4-ff5a30488db7,0.2222222222222222,0.4545454545454545,0.15625,Specialized,L5
7a7c51f0-1c93-8452-b85b-1626da88b7f4,0.4444444444444444,1.0,0.15625,Focused,L5
85319c86-f5f7-02ee-3a57-c358cfa5b98c,0.8888888888888888,0.9090909090909092,0.140625,Specialized,L5
87af5786-b952-4f07-9b09-871bbdfd67e0,0.2222222222222222,0.5454545454545454,0.125,Specialized,L5
4c781fa4-aa4e-4bb9-9b08-3bf5d05d26f4,0.4444444444444444,0.6363636363636364,0.125,Focused,L5
e1ef554b-928a-4d99-bc60-f24619280b65,0.2222222222222222,0.6363636363636364,0.125,Balanced,L5
b0ba7a27-0c34-4ade-b513-8ccec14a6e46,0.2222222222222222,0.6363636363636364,0.125,Specialized,L5
2f224c97-0191-45ee-8e3b-e75ddfa437f4,1.6666666666666667,0.7272727272727273,0.125,Specialized,L5
da43494a-5084-4247-81d2-0aaf8ab6fc06,0.5555555555555556,0.6363636363636364,0.1125,Specialized,L5
6aadd815-82c8-4625-9228-a714edc1b949,0.3333333333333333,0.6363636363636364,0.1041666666666666,Diverse,L5
32ee9829-6af8-a686-8c19-5bb33de26be5,0.5555555555555556,0.6363636363636364,0.1,Specialized,L5
a270190c-b2bc-b9ba-b3f9-4877717c83df,2.111111111111111,0.9090909090909092,0.0921052631578947,Focused,L5
66e89ab4-e7f6-6d5a-f81f-e5e8ff81af98,0.7777777777777778,1.0,0.0892857142857142,Specialized,L5
