investor_uuid,annualised_investments,experience,weighted_success_rate,diversity_bucket,success_bucket
7f70cbab-edf3-b810-fdbb-be115b5ebe95,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
be0512fb-2268-ae41-d2b4-de9148cb2b87,0.1111111111111111,0.6363636363636364,0.875,Universalist,L1
9ff96290-60e1-957d-657a-06515c4088d3,0.1111111111111111,0.9090909090909092,0.625,Universalist,L2
df950d7e-4407-0ab0-243b-9627de64c642,0.1111111111111111,0.9090909090909092,0.625,Universalist,L2
fda1c013-a59f-2be1-2b23-497ef4fb38cd,0.1111111111111111,0.9090909090909092,0.625,Universalist,L2
36e139f5-9f4f-61c5-de2c-db9158754a78,0.1111111111111111,0.8181818181818182,0.625,Specialized,L2
ce7cadb6-adf5-4aba-8ccf-1f440bda4919,0.2222222222222222,0.5454545454545454,0.4375,Diverse,L3
3dc1eb59-8991-48a4-9aee-78f943339873,0.1111111111111111,0.3636363636363636,0.3125,Focused,L4
28b54ba7-f398-bb89-3928-d4ee51650dca,0.2222222222222222,0.7272727272727273,0.3125,Universalist,L4
9e497fbe-1d94-733a-24c8-8d4aa7799ac5,0.2222222222222222,0.9090909090909092,0.3125,Universalist,L4
e2cac931-9bad-4dfb-d10e-aab729ea638f,0.2222222222222222,1.0,0.3125,Diverse,L4
bc3f7055-90d8-4490-9055-7cc28c9d298a,0.1111111111111111,0.3636363636363636,0.3125,Focused,L4
943ac4d0-906d-d48f-fc96-1ee5f6cd5964,0.2222222222222222,0.8181818181818182,0.3125,Diverse,L4
90f2ef2b-8426-45fd-ad9d-b675b1dcfb4c,0.1111111111111111,0.3636363636363636,0.3125,Focused,L4
8ea7ef9c-67c5-a802-9181-38479369047a,0.1111111111111111,0.6363636363636364,0.25,Universalist,L4
5b33c70a-3446-a19d-4392-2cd5ede278f1,0.1111111111111111,0.6363636363636364,0.25,Balanced,L4
083c21ab-82a8-8bd9-2e3f-cc2ca03619d0,0.1111111111111111,0.6363636363636364,0.25,Diverse,L4
9ccdb1e6-4323-4f2b-b0ce-20b7fa391958,0.1111111111111111,0.5454545454545454,0.25,Diverse,L4
def2ce9d-e943-fdf3-aadd-706438d70dd8,0.1111111111111111,0.5454545454545454,0.25,Balanced,L4
