strat_name,30,100
investors-simple-best,0.0006188118811881,0.0006188118811881
investors-simple-mean,0.0006188118811881,0.0006188118811881
investors-simple-median,0.0006188118811881,0.0006188118811881
investors-simple-mean_top,0.0006188118811881,0.0006188118811881
investors-simple-median_top,0.0006188118811881,0.0006188118811881
investors-linear-best,-0.024194968884298396,-0.024194968884298396
investors-linear-mean,-0.024194968884298396,-0.024194968884298396
investors-linear-median,-0.024194968884298396,-0.024194968884298396
investors-linear-mean_top,-0.024194968884298396,-0.024194968884298396
investors-linear-median_top,-0.024194968884298396,-0.024194968884298396
investors-neural-best,-1.3030797994865762,-1.3030797994865762
investors-neural-mean,-1.3030797994865762,-1.3030797994865762
investors-neural-median,-1.3030797994865762,-1.3030797994865762
investors-neural-mean_top,-1.3030797994865762,-1.3030797994865762
investors-neural-median_top,-1.319947975667927,-1.319947975667927
coinvestors-simple-best,0.0007183908045977,0.0007183908045977
coinvestors-simple-mean,0.0007183908045977,0.0007183908045977
coinvestors-simple-median,0.0007183908045977,0.0007183908045977
coinvestors-simple-mean_top,0.0007183908045977,0.0007183908045977
coinvestors-simple-median_top,0.0007183908045977,0.0007183908045977
coinvestors-linear-best,-0.1522100188034939,-0.1522100188034939
coinvestors-linear-mean,-0.1522100188034939,-0.1522100188034939
coinvestors-linear-median,-0.1522100188034939,-0.1522100188034939
coinvestors-linear-mean_top,-0.1522100188034939,-0.1522100188034939
coinvestors-linear-median_top,-0.1522100188034939,-0.1522100188034939
coinvestors-neural-best,-1.330592234185987,-1.330592234185987
coinvestors-neural-mean,-1.330592234185987,-1.330592234185987
coinvestors-neural-median,-1.330592234185987,-1.330592234185987
coinvestors-neural-mean_top,-1.330592234185987,-1.330592234185987
coinvestors-neural-median_top,-1.330592234185987,-1.330592234185987
investors-with-graph-data-simple-best,0.0006188118811881,0.0006188118811881
investors-with-graph-data-simple-mean,0.0006188118811881,0.0006188118811881
investors-with-graph-data-simple-median,0.0006188118811881,0.0006188118811881
investors-with-graph-data-simple-mean_top,0.0006188118811881,0.0006188118811881
investors-with-graph-data-simple-median_top,0.0006188118811881,0.0006188118811881
investors-with-graph-data-linear-best,-0.13025006199562972,-0.13025006199562972
investors-with-graph-data-linear-mean,-0.13025006199562972,-0.13025006199562972
investors-with-graph-data-linear-median,-0.13025006199562972,-0.13025006199562972
investors-with-graph-data-linear-mean_top,-0.13025006199562972,-0.13025006199562972
investors-with-graph-data-linear-median_top,-0.13025006199562972,-0.13025006199562972
investors-with-graph-data-neural-best,-0.3100015341625177,-0.3100015341625177
investors-with-graph-data-neural-mean,-0.3100015341625177,-0.3100015341625177
investors-with-graph-data-neural-median,-0.3100015341625177,-0.3100015341625177
investors-with-graph-data-neural-mean_top,-0.3100015341625177,-0.3100015341625177
investors-with-graph-data-neural-median_top,-0.3100015341625177,-0.3100015341625177
